"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1008,1008.4,1010.4,"2013-05-01 21:59",1005.5,"2013-05-01 03:33",25.4,27.9,"2013-05-01 09:41",23.2,"2013-05-01 20:07",22,82,72,"2013-05-01 14:36",2.3,320,13.9,290,"2013-05-01 04:35","23.5",1.9,"12.5","2013-05-01 04:32","21.0","2013-05-01 04:24",1.5,11.6,9.46,10,"-2.4"
2,1010.2,1010.6,1011.3,"2013-05-02 09:03",1008.7,"2013-05-02 03:06",22.9,24.3,"2013-05-02 07:45",21.6,"2013-05-02 18:26",20.1,84,73,"2013-05-02 03:58",1.3,270,5.5,330,"2013-05-02 11:33","11.0",8.7,"2.0","2013-05-02 09:08","3.5","2013-05-02 08:45",0,0,2.19,5.6,"-0.6"
3,1011,1011.4,1013,"2013-05-03 21:40",1009.3,"2013-05-03 03:12",24.4,27.6,"2013-05-03 12:04",22,"2013-05-03 02:47",21.3,83,71,"2013-05-03 14:50",1.4,320,6,300,"2013-05-03 13:39","0.5",0.8,"0.5","2013-05-03 05:35","0.5","2013-05-03 05:05",1.6,12.3,10.4,5.5,"1.9"
4,1013.2,1013.6,1015.4,"2013-05-04 21:29",1011.1,"2013-05-04 02:00",25.3,28.1,"2013-05-04 11:40",23.7,"2013-05-04 01:28",21.6,80,71,"2013-05-04 11:36",1.1,310,7.8,310,"2013-05-04 13:41","0.0",0,"0.0","","0.0","",0.3,2.3,8.25,5.1,"3.8"
5,1013.8,1014.2,1015.7,"2013-05-05 09:50",1012,"2013-05-05 16:41",26.4,29.5,"2013-05-05 14:04",23.3,"2013-05-05 05:17",22.7,80,68,"2013-05-05 10:54",1.6,310,6.5,320,"2013-05-05 15:26","0.0",0,"0.0","","0.0","",2.5,19.2,14.11,5,"-1.2"
6,1012.6,1013,1014.7,"2013-05-06 09:31",1010.4,"2013-05-06 15:41",26.5,29.2,"2013-05-06 13:14",24.2,"2013-05-06 07:21",23.3,83,74,"2013-05-06 13:33",1.5,310,7.8,310,"2013-05-06 17:45","3.0",1.7,"1.0","2013-05-06 05:48","2.0","2013-05-06 05:30",5.9,45.3,15.18,7.8,"4.0"
7,1011.8,1012.2,1013.5,"2013-05-07 08:35",1010.1,"2013-05-07 16:35",27.1,29.7,"2013-05-07 12:35",24.9,"2013-05-07 05:48",23.1,79,71,"2013-05-07 14:06",1.7,320,8,330,"2013-05-07 13:00","0.0",0,"0.0","","0.0","",6.4,49.1,19.41,4.8,"-4.7"
8,1011.6,1012,1013,"2013-05-08 08:58",1010.3,"2013-05-08 16:31",27,29.2,"2013-05-08 13:05",25.6,"2013-05-08 06:23",23.5,81,76,"2013-05-08 11:18",1.7,310,6.8,330,"2013-05-08 14:53","T",0.2,"T","2013-05-08 06:05","T","2013-05-08 06:05",2.1,16.1,13.24,5.3,"3.8"
9,1010.7,1011.1,1012.3,"2013-05-09 09:16",1008.2,"2013-05-09 16:30",28,31,"2013-05-09 12:59",26.3,"2013-05-09 03:41",23.6,78,69,"2013-05-09 09:06",1.8,330,7.5,320,"2013-05-09 15:56","0.0",0,"0.0","","0.0","",5.1,39,17.6,9.1,"4.5"
10,1008.3,1008.7,1010.5,"2013-05-10 00:01",1005.8,"2013-05-10 16:31",28.8,31.5,"2013-05-10 10:07",26.8,"2013-05-10 05:18",24.8,79,70,"2013-05-10 23:54",2.2,320,7.2,290,"2013-05-10 15:04","0.0",0,"0.0","","0.0","",10.9,83.3,22.26,12.3,"5.1"
11,1007.1,1007.5,1009.4,"2013-05-11 22:08",1005.6,"2013-05-11 04:42",28.7,31.4,"2013-05-11 13:06",27,"2013-05-11 04:40",23.7,74,69,"2013-05-11 01:03",1.7,320,6,280,"2013-05-11 13:39","0.0",0,"0.0","","0.0","",8,61,21.08,14.4,"-5.3"
12,1008.7,1009.1,1010.2,"2013-05-12 10:31",1007.1,"2013-05-12 03:46",26.7,27.8,"2013-05-12 01:48",26,"2013-05-12 22:21",23.9,85,74,"2013-05-12 00:07",1.2,160,6.8,200,"2013-05-12 08:29","2.0",9.8,"0.5","2013-05-12 09:22","1.0","2013-05-12 09:06",0,0,5.09,10.5,"-1.6"
13,1008,1008.4,1009.1,"2013-05-13 22:53",1006.4,"2013-05-13 16:38",28.2,31.1,"2013-05-13 12:07",25.8,"2013-05-13 06:17",24.7,82,66,"2013-05-13 16:06",1.6,160,8.2,330,"2013-05-13 13:47","2.0",0.2,"2.0","2013-05-13 13:43","2.0","2013-05-13 13:40",10.9,83,22.32,13.6,"-4.8"
14,1007.8,1008.1,1009.1,"2013-05-14 22:16",1006.4,"2013-05-14 15:00",28.3,30.6,"2013-05-14 13:54",26.2,"2013-05-14 04:51",25.1,83,70,"2013-05-14 08:49",1.7,180,6.5,180,"2013-05-14 14:00","0.0",0,"0.0","","0.0","",10.4,79.1,20.4,11.5,"6.6"
15,1007.6,1008,1008.9,"2013-05-15 10:41",1006,"2013-05-15 16:14",29.1,31.8,"2013-05-15 13:14",25.9,"2013-05-15 05:09",24.9,79,67,"2013-05-15 08:23",2.4,170,7.3,190,"2013-05-15 14:05","0.0",0,"0.0","","0.0","",10,75.9,22.95,13.4,"-4.4"
16,1008.1,1008.5,1009.4,"2013-05-16 11:53",1006.2,"2013-05-16 03:23",27.6,29,"2013-05-16 06:47",25.3,"2013-05-16 12:32",25.1,86,80,"2013-05-16 06:16",1.6,150,8.6,270,"2013-05-16 11:41","9.0",3.2,"4.0","2013-05-16 11:45","5.5","2013-05-16 11:45",0.1,0.8,4.48,11.5,"-2.5"
17,1008.3,1008.7,1009.7,"2013-05-17 22:19",1006.6,"2013-05-17 16:35",27.3,30.2,"2013-05-17 14:17",24.7,"2013-05-17 05:24",25.1,88,76,"2013-05-17 15:39",1.4,310,13.1,230,"2013-05-17 05:01","32.0",3.4,"8.5","2013-05-17 04:26","24.5","2013-05-17 03:38",1.1,8.3,6.59,9,"-1.2"
