"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1007.5,1009.7,1009.3,"2013-07-01 22:31",1005.8,"2013-07-01 15:46",28.9,31.7,"2013-07-01 12:58",26.1,"2013-07-01 05:25",24.1,76,63,"2013-07-01 08:14",5.6,170,14.7,190,"2013-07-01 13:23","0.0",0,"0.0","","0.0","",11.8,87.1,26.15,17.8,6.8
2,1008.6,1010.8,1010.6,"2013-07-02 21:56",1007.3,"2013-07-02 15:44",29.1,32,"2013-07-02 14:28",26.4,"2013-07-02 05:33",24,74,65,"2013-07-02 07:48",4.2,170,13.8,170,"2013-07-02 14:11","0.0",0,"0.0","","0.0","",10.9,80.5,23.87,16.4,6.2
3,1008.4,1010.6,1009.6,"2013-07-03 08:44",1007.1,"2013-07-03 17:15",29.2,32.2,"2013-07-03 14:25",26.1,"2013-07-03 04:36",22.9,69,62,"2013-07-03 05:14",3.5,230,10,160,"2013-07-03 11:21","0.0",0,"0.0","","0.0","",12.1,89.4,24.26,16.4,5.4
4,1006.3,1008.5,1007.8,"2013-07-04 00:02",1004.6,"2013-07-04 16:11",29.1,32.5,"2013-07-04 13:00",26,"2013-07-04 05:14",23.6,72,58,"2013-07-04 08:28",3.9,170,11.4,200,"2013-07-04 16:07","0.0",0,"0.0","","0.0","",10.9,80.5,23.89,16.9,5.5
5,1005.9,1008.1,1008.3,"2013-07-05 22:29",1004.2,"2013-07-05 17:06",28.9,32.1,"2013-07-05 13:21",26.2,"2013-07-05 03:59",24.3,76,61,"2013-07-05 08:48",3.1,220,13.1,180,"2013-07-05 11:38","1.0",0.8,"0.5","2013-07-05 21:52","1.0","2013-07-05 21:36",9.5,70.2,20.72,17.5,-5.2
6,1007.7,1009.9,1010,"2013-07-06 22:04",1006,"2013-07-06 16:23",28.6,31.8,"2013-07-06 13:37",25.8,"2013-07-06 04:57",24.3,78,70,"2013-07-06 16:39",3.7,170,13.3,180,"2013-07-06 12:49","2.0",0.5,"1.5","2013-07-06 23:32","1.5","2013-07-06 23:30",11,81.4,23.43,15.5,-4.5
7,1009.6,1011.8,1011.3,"2013-07-07 21:47",1008.3,"2013-07-07 02:29",28.7,31.6,"2013-07-07 12:15",26.5,"2013-07-07 05:16",24.1,77,64,"2013-07-07 23:03",4,160,13.2,170,"2013-07-07 12:09","0.5",0.3,"0.5","2013-07-07 02:20","0.5","2013-07-07 02:20",11.3,83.6,23.92,19,8.2
8,1010.2,1012.4,1012.1,"2013-07-08 09:18",1008.2,"2013-07-08 15:51",28.7,32.7,"2013-07-08 12:51",25.2,"2013-07-08 03:58",22.6,70,55,"2013-07-08 10:41",3.2,240,8.2,160,"2013-07-08 15:38","0.0",0,"0.0","","0.0","",12,88.9,25.24,17.5,6.1
9,1008.3,1010.5,1009.8,"2013-07-09 09:17",1005.6,"2013-07-09 16:57",28.5,32.6,"2013-07-09 13:13",25.3,"2013-07-09 05:14",22.6,71,60,"2013-07-09 08:27",2.6,240,9.9,190,"2013-07-09 20:33","0.0",0,"0.0","","0.0","",10.6,78.5,26.12,16.8,7
10,1006.7,1008.9,1008.1,"2013-07-10 22:36",1005.4,"2013-07-10 15:48",28.7,32.7,"2013-07-10 14:38",25,"2013-07-10 04:56",22.4,69,58,"2013-07-10 09:08",2.3,240,5.6,240,"2013-07-10 05:54","0.0",0,"0.0","","0.0","",11.6,86,28.66,16.9,5.6
11,1005.5,1007.7,1007.3,"2013-07-11 00:01",1003.9,"2013-07-11 23:59",29,33.8,"2013-07-11 11:41",24.4,"2013-07-11 03:25",20.8,62,45,"2013-07-11 09:58",3.3,240,10.6,40,"2013-07-11 14:13","0.0",0,"0.0","","0.0","",10.7,79.4,25.71,15.8,7.4
12,993.7,995.8,1003.9,"2013-07-12 00:01",978.3,"2013-07-12 23:46",29.7,36.3,"2013-07-12 10:41",25.4,"2013-07-12 23:30",21.2,62,39,"2013-07-12 10:40",4.6,240,23,40,"2013-07-12 15:14","3.0",5.2,"0.5","2013-07-12 19:38","1.0","2013-07-12 19:18",8.7,64.6,19.69,15.9,-6.2
13,988.9,991.1,1004.4,"2013-07-13 23:46",967.1,"2013-07-13 03:41",27,29.7,"2013-07-13 05:50",24.8,"2013-07-13 22:56",23.2,80,62,"2013-07-13 05:49",6.3,210,23.7,230,"2013-07-13 07:33","6.5",11.9,"0.5","2013-07-13 00:11","1.5","2013-07-13 15:05",0,0,7.25,9.3,-1.3
14,1007.5,1009.7,1009.9,"2013-07-14 22:30",1004,"2013-07-14 02:23",26.2,29.1,"2013-07-14 11:28",24.4,"2013-07-14 01:20",23.1,83,75,"2013-07-14 20:30",4.3,220,13.5,180,"2013-07-14 16:35","2.0",1.3,"1.0","2013-07-14 07:20","1.5","2013-07-14 07:20",1.7,12.6,11.8,11.1,-4.8
15,1009.4,1011.6,1010.8,"2013-07-15 09:11",1007.5,"2013-07-15 15:58",27.5,31.6,"2013-07-15 11:58",23.9,"2013-07-15 05:09",23.7,80,67,"2013-07-15 09:00",3.1,160,7.9,160,"2013-07-15 17:26","0.0",0,"0.0","","0.0","",9.5,70.7,23.69,16.9,4.8
16,1008.5,1010.7,1009.5,"2013-07-16 07:10",1006.6,"2013-07-16 15:58",28.3,32.1,"2013-07-16 12:38",24.9,"2013-07-16 04:20",23.6,76,68,"2013-07-16 06:51",2.8,240,6.1,180,"2013-07-16 17:56","0.0",0,"0.0","","0.0","",9.4,70,22.95,15.5,5.8
17,1007.5,1009.7,1009.3,"2013-07-17 09:57",1005.6,"2013-07-17 23:59",26.7,31.2,"2013-07-17 12:09",23.8,"2013-07-17 14:16",22.1,76,65,"2013-07-17 12:29",4.3,220,17.3,200,"2013-07-17 13:22","24.0",1.9,"6.0","2013-07-17 13:50","22.0","2013-07-17 13:32",2.8,20.9,13.61,15.8,-3.5
18,1007.1,1009.3,1009,"2013-07-18 21:41",1005.2,"2013-07-18 02:04",25.5,27,"2013-07-18 16:53",23.4,"2013-07-18 07:28",22.8,85,72,"2013-07-18 03:49",2.5,230,7.3,210,"2013-07-18 00:16","3.5",8.4,"0.5","2013-07-18 06:16","2.0","2013-07-18 06:15",0,0,10.37,14,-1.3
19,1007.5,1009.7,1009.6,"2013-07-19 22:09",1006,"2013-07-19 02:39",26.8,29.8,"2013-07-19 14:05",24.5,"2013-07-19 01:42",23.1,80,67,"2013-07-19 13:56",2.5,230,6.6,230,"2013-07-19 01:53","T",1.2,"T","2013-07-19 12:55","T","2013-07-19 12:55",0.3,2.2,10.65,16.9,-1.9
20,1007.9,1010.1,1009.1,"2013-07-20 07:58",1006.4,"2013-07-20 16:58",28,31.7,"2013-07-20 15:01",24.9,"2013-07-20 05:23",23.9,79,65,"2013-07-20 09:55",2.1,140,5.2,250,"2013-07-20 03:48","0.0",0,"0.0","","0.0","",8.7,65,22.78,19.1,5.5
21,1007.1,1009.3,1008.8,"2013-07-21 00:04",1005.9,"2013-07-21 16:24",28.3,31.8,"2013-07-21 12:17",25.6,"2013-07-21 02:44",24.2,79,69,"2013-07-21 08:15",2.1,120,6.2,180,"2013-07-21 22:09","0.0",0,"0.0","","0.0","",9.2,68.9,23.16,17.5,3.2
22,1008.1,1010.3,1010.4,"2013-07-22 21:25",1006.9,"2013-07-22 15:14",28.5,31.9,"2013-07-22 11:59",26,"2013-07-22 06:07",24.4,79,71,"2013-07-22 09:03",3,150,7.4,150,"2013-07-22 11:09","0.0",0,"0.0","","0.0","",8.6,64.4,26.27,16.9,4.7
23,1008.5,1010.7,1009.6,"2013-07-23 23:11",1007.1,"2013-07-23 15:04",28.5,31.7,"2013-07-23 14:27",24.9,"2013-07-23 04:57",23.6,75,57,"2013-07-23 07:24",3.3,230,10.7,160,"2013-07-23 13:33","0.0",0,"0.0","","0.0","",10.2,76.5,25.56,17.8,6
24,1007.5,1009.7,1009.5,"2013-07-24 00:11",1006,"2013-07-24 17:50",28.7,32,"2013-07-24 14:12",25.8,"2013-07-24 05:48",24.7,79,70,"2013-07-24 08:48",2.9,150,9.7,170,"2013-07-24 16:34","0.0",0,"0.0","","0.0","",12.2,91.6,26.34,19.4,6.6
25,1006.1,1008.3,1007,"2013-07-25 00:01",1005.1,"2013-07-25 15:53",28.6,32.2,"2013-07-25 13:50",25.3,"2013-07-25 05:27",24.3,78,65,"2013-07-25 08:29",2.9,140,8.8,160,"2013-07-25 10:57","0.0",0,"0.0","","0.0","",12.1,90.9,27.98,20.1,6.5
26,1006.4,1008.6,1008.4,"2013-07-26 22:38",1005.6,"2013-07-26 02:44",28.9,32.1,"2013-07-26 12:16",25.6,"2013-07-26 05:09",23.9,75,65,"2013-07-26 09:54",2.3,80,6.8,70,"2013-07-26 13:22","0.0",0,"0.0","","0.0","",8.2,61.7,21.16,17.4,6.8
27,1007.4,1009.6,1009,"2013-07-27 21:47",1006.4,"2013-07-27 16:39",28.9,32.7,"2013-07-27 13:40",25.9,"2013-07-27 04:34",24,75,65,"2013-07-27 08:56",2.1,130,6.6,170,"2013-07-27 15:42","0.0",0,"0.0","","0.0","",11.6,87.4,25,15.3,4.4
28,1008.1,1010.3,1009.7,"2013-07-28 21:19",1006.9,"2013-07-28 03:44",29.1,33.2,"2013-07-28 14:08",26,"2013-07-28 05:16",24.1,75,64,"2013-07-28 11:01",2.7,140,6.3,180,"2013-07-28 18:54","0.0",0,"0.0","","0.0","",11.7,88.3,25.39,19.1,7.3
29,1007.2,1009.4,1008.7,"2013-07-29 10:06",1005.9,"2013-07-29 16:52",28.9,32.6,"2013-07-29 12:38",25.9,"2013-07-29 04:11",23.9,75,64,"2013-07-29 10:41",3,230,8.4,190,"2013-07-29 19:45","0.0",0,"0.0","","0.0","",10.8,81.6,22.1,20.6,6.6
30,1005.6,1007.8,1007.1,"2013-07-30 07:10",1003.7,"2013-07-30 15:29",28.7,32,"2013-07-30 13:26",26,"2013-07-30 05:52",23.8,75,65,"2013-07-30 11:05",3.5,230,11.1,170,"2013-07-30 14:48","0.0",0,"0.0","","0.0","",8.1,61.3,20.33,17.9,6.2
31,1005.4,1007.6,1006.7,"2013-07-31 23:24",1004.5,"2013-07-31 17:22",28.6,32,"2013-07-31 13:22",25.8,"2013-07-31 04:30",23.3,73,61,"2013-07-31 08:07",4.4,230,11.2,180,"2013-07-31 14:31","0.0",0,"0.0","","0.0","",9,68.1,22.08,17.5,4.8
