"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1001.7,1011.5,1003.4,"2015-05-01 09:20",1000.1,"2015-05-01 15:05",26.8,30.3,"2015-05-01 13:32",24.5,"2015-05-01 02:33",20.7,70,61,"2015-05-01 14:13",1.1,180,5.5,320,"2015-05-01 15:02",0,0,0,"",0,"",0.4,3.1,10.78,8.5,"2.2"
2,1000.5,1010.3,1002,"2015-05-02 00:02",998.4,"2015-05-02 15:01",28,34.1,"2015-05-02 13:25",24.4,"2015-05-02 04:43",21.7,69,51,"2015-05-02 13:23",2,200,9.1,230,"2015-05-02 16:03",0,0,0,"",0,"",6.9,53,17.92,13,"4.7"
3,1000.6,1010.3,1002.5,"2015-05-03 08:08",998.7,"2015-05-03 15:50",28.2,32.8,"2015-05-03 14:27",25.7,"2015-05-03 04:23",21.9,69,58,"2015-05-03 11:13",2.1,170,7.9,220,"2015-05-03 13:33",0,0,0,"",0,"",3.3,25.3,14.83,11,"-3.5"
4,1001.1,1010.9,1002.9,"2015-05-04 09:02",999.3,"2015-05-04 16:04",26.7,29.9,"2015-05-04 14:48",24.2,"2015-05-04 07:42",22.4,77,68,"2015-05-04 15:03",1.1,200,6.4,310,"2015-05-04 16:14",13,3.3,4.5,"2015-05-04 07:22",9,"2015-05-04 06:55",2.2,16.8,10.39,13.3,"-2.8"
5,1000.5,1010.4,1002.1,"2015-05-05 09:41",998.8,"2015-05-05 17:40",23.4,26,"2015-05-05 00:01",22.2,"2015-05-05 02:21",20.7,85,78,"2015-05-05 00:01",0.8,320,5.4,220,"2015-05-05 00:23",5,4.1,1,"2015-05-05 00:47",2.2,"2015-05-05 09:40",0,0,3.25,7.3,"-0.5"
6,999.7,1009.5,1001.4,"2015-05-06 23:14",998.3,"2015-05-06 15:15",26.4,30.1,"2015-05-06 12:33",23,"2015-05-06 03:47",21.8,76,64,"2015-05-06 14:10",1.3,240,7.1,220,"2015-05-06 11:00",0,0,0,"",0,"",2.6,19.8,14.24,10.3,"3.0"
7,1000.8,1010.6,1002.4,"2015-05-07 22:15",999.3,"2015-05-07 16:02",27.2,31.4,"2015-05-07 15:09",23.4,"2015-05-07 05:04",22,74,59,"2015-05-07 15:08",1.3,340,6.7,330,"2015-05-07 11:26",0,0,0,"",0,"",6.4,48.8,17.26,11.3,"3.8"
8,1000,1009.7,1001.7,"2015-05-08 00:01",998.3,"2015-05-08 17:11",27.9,32,"2015-05-08 13:54",25.2,"2015-05-08 05:24",22.2,72,56,"2015-05-08 15:04",1.5,220,7.2,250,"2015-05-08 15:18",0,0,0,"",0,"",6.7,51,18.2,10.8,"5.0"
9,999.8,1009.5,1002,"2015-05-09 21:59",998.3,"2015-05-09 15:00",28.7,34.7,"2015-05-09 11:30",24.4,"2015-05-09 05:44",22.1,69,48,"2015-05-09 12:03",1.6,230,7.5,350,"2015-05-09 13:10",0,0,0,"",0,"",8.6,65.4,20.42,13.4,"5.1"
10,1000.7,1010.4,1001.9,"2015-05-10 10:01",998.1,"2015-05-10 02:26",27.8,32.7,"2015-05-10 12:57",25.1,"2015-05-10 04:20",22.3,73,58,"2015-05-10 12:56",1.5,320,7.5,330,"2015-05-10 14:32",0,0,0,"",0,"",8.7,66,21.07,14.4,"8.6"
11,999.6,1009.3,1001.1,"2015-05-11 08:40",997.3,"2015-05-11 15:29",28.1,33.1,"2015-05-11 16:01",24.3,"2015-05-11 03:33",21.3,68,46,"2015-05-11 16:50",1.4,330,5.9,360,"2015-05-11 06:25",0,0,0,"",0,"",2.5,19,13.15,11.1,"-6.0"
12,1002,1011.8,1003.7,"2015-05-12 21:55",1000.6,"2015-05-12 02:31",25.8,30.4,"2015-05-12 13:12",22.5,"2015-05-12 08:09",20.9,75,64,"2015-05-12 13:05",1.4,320,8.4,350,"2015-05-12 07:54",67.6,5.2,14.5,"2015-05-12 06:58",49,"2015-05-12 06:40",3.8,28.8,14.23,10.6,"3.0"
13,1002.8,1012.5,1004.2,"2015-05-13 08:47",1001.2,"2015-05-13 14:58",27.9,32.5,"2015-05-13 13:37",24.3,"2015-05-13 00:01",22.1,71,55,"2015-05-13 14:50",1.5,180,6.6,160,"2015-05-13 11:40",0,0,0,"",0,"",8.2,62,20.61,11.3,"5.4"
14,1003.4,1013.1,1004.8,"2015-05-14 08:39",1002.2,"2015-05-14 01:41",28.4,32.7,"2015-05-14 11:29",25.2,"2015-05-14 05:10",23.2,74,59,"2015-05-14 11:11",1.8,230,8.1,140,"2015-05-14 10:44",0,0,0,"",0,"",7,52.9,19.17,11.3,"5.7"
15,1002.4,1012.1,1004.8,"2015-05-15 09:02",1000.1,"2015-05-15 16:13",28.9,34,"2015-05-15 13:56",25.1,"2015-05-15 05:07",23.3,73,56,"2015-05-15 13:49",2.1,200,8.3,200,"2015-05-15 11:35",0,0,0,"",0,"",8.5,64.1,19.91,13.6,"4.5"
16,1000.9,1010.7,1002.6,"2015-05-16 09:33",998.7,"2015-05-16 14:56",28.5,33.4,"2015-05-16 11:46",24.8,"2015-05-16 05:48",22.4,70,56,"2015-05-16 08:43",1.8,180,8.1,230,"2015-05-16 13:48",0,0,0,"",0,"",9.3,70.1,22.23,12.8,"3.9"
17,1000,1009.7,1001.4,"2015-05-17 09:03",998.1,"2015-05-17 13:36",28.5,33.9,"2015-05-17 13:13",25.3,"2015-05-17 03:49",22,69,48,"2015-05-17 13:00",1.5,220,7.8,240,"2015-05-17 14:49",0,0,0,"",0,"",7.4,55.7,21.16,14.3,"4.5"
18,999.4,1009,1000.3,"2015-05-18 06:47",997.8,"2015-05-18 16:20",29.3,33.9,"2015-05-18 11:31",24.2,"2015-05-18 05:32",21.1,62,43,"2015-05-18 15:57",1.9,220,9.4,230,"2015-05-18 13:34",0,0,0,"",0,"",10.7,80.4,24.12,14.8,"6.9"
19,999,1008.6,1000.2,"2015-05-19 09:27",997.1,"2015-05-19 16:32",29.1,32.7,"2015-05-19 10:14",24.7,"2015-05-19 04:48",21.8,65,56,"2015-05-19 07:21",2,200,8.4,180,"2015-05-19 10:01",0,0,0,"",0,"",3.9,29.3,13.15,12.1,"-4.7"
20,999.5,1009.4,1002.3,"2015-05-20 22:28",996.6,"2015-05-20 01:33",24.5,28.7,"2015-05-20 00:08",21.7,"2015-05-20 13:44",21.1,83,62,"2015-05-20 08:01",1.2,150,6.5,190,"2015-05-20 05:49",115,13.4,6,"2015-05-20 14:36",23.5,"2015-05-20 14:05",0,0,0,7.8,"-0.4"
21,1001,1010.9,1002.6,"2015-05-21 09:35",999.5,"2015-05-21 18:26",23.7,26,"2015-05-21 12:02",22.4,"2015-05-21 02:33",21.2,86,72,"2015-05-21 13:23",0.7,310,3.8,240,"2015-05-21 12:37",7.4,15.8,1.2,"2015-05-21 23:06",2.8,"2015-05-21 22:59",0,0,6.09,7.5,"-0.1"
22,999.1,1008.9,1000.9,"2015-05-22 00:11",996.9,"2015-05-22 15:36",25.1,29.6,"2015-05-22 12:30",22.6,"2015-05-22 00:02",22.2,85,69,"2015-05-22 13:35",1,330,6.4,160,"2015-05-22 18:57",44.5,9.1,9.5,"2015-05-22 18:44",26.5,"2015-05-22 18:07",0.6,4.5,9.67,10.9,"-0.1"
23,997.8,1007.6,999.2,"2015-05-23 00:01",995.8,"2015-05-23 17:21",25.3,27.9,"2015-05-23 13:13",24.1,"2015-05-23 23:59",23.2,88,79,"2015-05-23 13:11",1,170,7.6,160,"2015-05-23 23:06",42.2,7.4,8.5,"2015-05-23 16:23",20.4,"2015-05-23 16:05",0,0,4.01,8.5,"x"
24,997,1006.8,998.4,"2015-05-24 11:00",995.7,"2015-05-24 16:04",24.3,25.8,"2015-05-24 07:53",23.5,"2015-05-24 03:42",22.7,91,84,"2015-05-24 08:01",1,140,7.6,250,"2015-05-24 10:01",113.8,19.6,7,"2015-05-24 17:44",22.5,"2015-05-24 17:11",0,0,1.72,7.3,"-0.8"
25,998,1007.8,1001,"2015-05-25 22:44",995.7,"2015-05-25 02:35",25.2,28,"2015-05-25 14:34",23.5,"2015-05-25 07:34",23.5,90,79,"2015-05-25 14:40",0.4,320,3.6,350,"2015-05-25 18:29",6.9,4.8,2,"2015-05-25 07:39",3.7,"2015-05-25 06:49",0,0,4.45,8.6,"-0.9"
26,1000.6,1010.4,1002.1,"2015-05-26 22:12",999.3,"2015-05-26 15:49",25.1,27.1,"2015-05-26 08:24",23.5,"2015-05-26 22:00",23.1,89,81,"2015-05-26 09:03",0.8,150,5.8,130,"2015-05-26 16:30",92,11.4,7.5,"2015-05-26 21:39",25.5,"2015-05-26 21:01",0,0,3.15,6.3,"-0.4"
27,999.1,1008.9,1001,"2015-05-27 00:01",997.5,"2015-05-27 23:58",24.7,27.3,"2015-05-27 10:50",23.2,"2015-05-27 00:29",22.8,90,80,"2015-05-27 11:00",0.7,180,4.3,240,"2015-05-27 11:11",16.5,6.3,6.5,"2015-05-27 11:10",7.5,"2015-05-27 10:30",0.1,0.7,3.93,10.5,"-1.8"
28,997.3,1007.1,999.5,"2015-05-28 09:14",995,"2015-05-28 15:59",26.5,31,"2015-05-28 15:41",23.1,"2015-05-28 09:45",23.5,84,71,"2015-05-28 14:50",1.2,190,5.9,180,"2015-05-28 15:27",106.7,5,15,"2015-05-28 06:43",38,"2015-05-28 06:00",2.5,18.6,8.56,10.5,"x"
29,998.1,1007.8,999.9,"2015-05-29 23:22",996.6,"2015-05-29 16:58",29.2,32.8,"2015-05-29 14:15",26.3,"2015-05-29 06:08",24.6,77,61,"2015-05-29 16:31",2,180,9.2,220,"2015-05-29 15:20",0.9,0.6,0.6,"2015-05-29 11:45",0.7,"2015-05-29 11:45",6,44.6,15.99,13.1,"-4.7"
30,998.6,1008.3,1000.3,"2015-05-30 08:30",996.3,"2015-05-30 17:15",29.2,32.7,"2015-05-30 14:24",27.4,"2015-05-30 10:28",24.8,77,68,"2015-05-30 15:11",2.2,190,7.8,230,"2015-05-30 13:33",3.8,0.6,3.7,"2015-05-30 10:16",3.8,"2015-05-30 09:55",4.5,33.4,15.23,14.9,"-4.3"
31,999.3,1009.1,1000.9,"2015-05-31 21:51",997.6,"2015-05-31 03:10",25.6,29,"2015-05-31 10:36",23.4,"2015-05-31 20:47",23.3,87,77,"2015-05-31 10:27",1.2,170,7.5,170,"2015-05-31 02:42",26.7,12.1,3.5,"2015-05-31 15:31",5.5,"2015-05-31 17:28",0.1,0.7,3.66,9.3,"-0.6"
