"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1014.3,1014.7,1016.6,"2014-03-01 07:14",1011.4,"2014-03-01 15:32",23.1,26,"2014-03-01 13:17",20.1,"2014-03-01 06:31",18,73,68,"2014-03-01 09:29",1.4,180,5.5,260,"2014-03-01 12:58","0.0",0,"0.0","","0.0","",8.9,76.6,9.79,8.3,2.5
2,1013.4,1013.8,1015.6,"2014-03-02 23:27",1012,"2014-03-02 03:43",22.8,25.9,"2014-03-02 14:35",19.9,"2014-03-02 23:57",17.9,74,66,"2014-03-02 14:35",2.3,330,8.1,300,"2014-03-02 13:16","0.0",0,"0.0","","0.0","",6.9,59.3,15.81,6.8,5.2
3,1016,1016.4,1017.7,"2014-03-03 09:55",1014.1,"2014-03-03 03:24",20.5,23.5,"2014-03-03 14:08",18.7,"2014-03-03 06:54",15.4,72,67,"2014-03-03 14:07",2.1,350,5.6,20,"2014-03-03 03:27","0.0",0,"0.0","","0.0","",1,8.6,9.23,5.4,2.4
4,1016.2,1016.6,1018,"2014-03-04 09:46",1014.2,"2014-03-04 16:40",21.7,24.6,"2014-03-04 12:53",19.5,"2014-03-04 06:07",16.8,74,70,"2014-03-04 23:59",2.3,360,8,340,"2014-03-04 18:37","0.0",0,"0.0","","0.0","",10.1,86.4,17.85,4.4,3.7
5,1016.8,1017.2,1018.4,"2014-03-05 10:11",1015.1,"2014-03-05 02:30",21.5,24.5,"2014-03-05 12:54",19.4,"2014-03-05 06:10",16.2,72,66,"2014-03-05 13:11",2.4,310,10.4,340,"2014-03-05 02:33","0.0",0,"0.0","","0.0","",5.3,45.3,15.86,5.9,-3.7
6,1017.6,1018,1019.5,"2014-03-06 22:38",1015.2,"2014-03-06 14:54",20.6,22.9,"2014-03-06 14:39",18.4,"2014-03-06 23:34",15.4,72,67,"2014-03-06 01:38",2.3,310,7.6,320,"2014-03-06 17:29","T",0.2,"T","2014-03-06 06:45","T","2014-03-06 06:45",3.2,27.3,10.68,4.9,3.6
7,1019.2,1019.6,1020.7,"2014-03-07 09:00",1017.2,"2014-03-07 15:15",20.2,24,"2014-03-07 13:37",17,"2014-03-07 02:41",14.7,71,62,"2014-03-07 13:36",2.5,310,9,320,"2014-03-07 12:53","0.0",0,"0.0","","0.0","",7.5,63.8,17.45,5.6,3.8
8,1016.9,1017.3,1019.6,"2014-03-08 00:01",1014.4,"2014-03-08 15:32",20.5,25.1,"2014-03-08 12:40",17.7,"2014-03-08 05:15",15.4,73,61,"2014-03-08 10:15",2.6,350,8.4,340,"2014-03-08 23:14","0.0",0,"0.0","","0.0","",3.1,26.3,10.79,4,2.9
9,1018.2,1018.6,1020.6,"2014-03-09 21:59",1015.8,"2014-03-09 03:18",18.8,21,"2014-03-09 13:43",16.8,"2014-03-09 06:27",13.2,70,64,"2014-03-09 14:03",2.4,350,8.4,340,"2014-03-09 02:25","0.0",0,"0.0","","0.0","",0.9,7.6,7.66,5.8,1.5
10,1020.9,1021.3,1022.6,"2014-03-10 22:29",1019.4,"2014-03-10 03:54",19.4,22.1,"2014-03-10 12:43",17.5,"2014-03-10 04:06",13.9,70,66,"2014-03-10 15:47",1.4,310,5.1,280,"2014-03-10 13:36","0.0",0,"0.0","","0.0","",0.2,1.7,8.3,3.9,2.4
