"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1004.6,1005.3,1006.3,"2013-08-01 00:01",1002.2,"2013-08-01 15:55",30.1,34,"2013-08-01 09:54",26.1,"2013-08-01 05:13",21.4,60,50,"2013-08-01 12:05",2.9,120,16.7,110,"2013-08-01 19:29","0.6",1.1,"0.3","2013-08-01 22:30","0.6","2013-08-01 22:15",3.5,26.4,16.17,17.8,"-4.8"
2,1008.7,1009.4,1012.6,"2013-08-02 23:44",1004.5,"2013-08-02 00:02",30.3,34.7,"2013-08-02 11:50",27.6,"2013-08-02 04:53",22.5,63,56,"2013-08-02 10:59",1.7,120,10.1,80,"2013-08-02 01:44","0.0",0,"0.0","","0.0","",2.4,18.1,17.31,13.5,"3.8"
3,1012.2,1012.9,1013.1,"2013-08-03 21:44",1011.1,"2013-08-03 16:36",30.9,36,"2013-08-03 11:01",27.2,"2013-08-03 04:40",23.2,64,52,"2013-08-03 10:40",1.2,160,8,320,"2013-08-03 11:49","0.0",0,"0.0","","0.0","",5.8,43.9,19.01,16.8,"5.0"
4,1010.2,1010.9,1012.6,"2013-08-04 00:02",1007.9,"2013-08-04 16:33",31.6,36.6,"2013-08-04 12:34",27.4,"2013-08-04 04:47",23.4,62,52,"2013-08-04 10:31",1.5,160,8.3,360,"2013-08-04 13:27","0.0",0,"0.0","","0.0","",10.8,81.9,27.88,14.4,"5.1"
5,1008.1,1008.8,1010,"2013-08-05 07:49",1006.1,"2013-08-05 14:48",31.8,37.9,"2013-08-05 13:46",27.4,"2013-08-05 05:34",22.8,60,45,"2013-08-05 13:07",1.8,160,7.9,60,"2013-08-05 16:15","0.0",0,"0.0","","0.0","",8.1,61.5,24.92,17.3,"5.7"
6,1009,1009.7,1010.8,"2013-08-06 21:56",1007.3,"2013-08-06 00:56",30.8,34.8,"2013-08-06 10:34",28.1,"2013-08-06 05:20",23.5,65,57,"2013-08-06 10:48",1.6,60,7.8,10,"2013-08-06 13:37","0.0",0,"0.0","","0.0","",1.8,13.7,11.57,13.3,"2.0"
7,1009.8,1010.5,1011.6,"2013-08-07 08:37",1008.2,"2013-08-07 16:09",31,35.9,"2013-08-07 12:09",28,"2013-08-07 04:49",24.1,67,56,"2013-08-07 12:03",1.6,360,9.2,340,"2013-08-07 13:34","0.1",0.7,"T","2013-08-07 18:51","0.1","2013-08-07 18:24",5.5,41.9,17.92,14.5,"-4.9"
8,1008.6,1009.3,1010.2,"2013-08-08 06:59",1006.9,"2013-08-08 16:14",32.4,39.3,"2013-08-08 13:58",27.5,"2013-08-08 05:31",23.3,60,45,"2013-08-08 12:43",1.4,140,7.3,30,"2013-08-08 14:52","0.0",0,"0.0","","0.0","",10.9,83.1,28.32,15.6,"5.8"
9,1007.5,1008.2,1008.8,"2013-08-09 22:08",1005.8,"2013-08-09 15:46",31.9,37.9,"2013-08-09 11:14",27.6,"2013-08-09 05:44",23.3,61,47,"2013-08-09 11:14",1.4,330,9.1,330,"2013-08-09 13:30","0.0",0,"0.0","","0.0","",8.9,68,25.41,13.8,"5.5"
10,1008.5,1009.2,1009.9,"2013-08-10 22:18",1007.2,"2013-08-10 16:28",30.7,35.6,"2013-08-10 11:35",27.7,"2013-08-10 05:41",23.1,64,53,"2013-08-10 10:11",1.6,300,9.5,340,"2013-08-10 11:25","T",0.1,"T","2013-08-10 13:50","T","2013-08-10 13:50",5.6,42.8,17.8,12.3,"-3.8"
11,1008.2,1008.9,1010.2,"2013-08-11 07:19",1006.2,"2013-08-11 17:43",31,35.8,"2013-08-11 12:50",27.4,"2013-08-11 05:13",22.2,60,46,"2013-08-11 15:44",2.4,160,12.6,100,"2013-08-11 16:34","0.0",0,"0.0","","0.0","",8.1,62.1,22.05,15.5,"3.6"
12,1005.9,1006.6,1007.6,"2013-08-12 08:29",1004,"2013-08-12 18:16",31.8,36.2,"2013-08-12 11:14",27.7,"2013-08-12 05:45",22,56,47,"2013-08-12 11:14",3.4,100,15.8,100,"2013-08-12 15:32","0.0",0,"0.0","","0.0","",10.1,77.5,29.05,21.9,"7.6"
13,1004.4,1005.1,1005.6,"2013-08-13 00:04",1003.2,"2013-08-13 13:55",31.9,36.7,"2013-08-13 12:20",30.3,"2013-08-13 02:29",22.2,57,49,"2013-08-13 12:18",4.2,120,16,140,"2013-08-13 14:41","0.0",0,"0.0","","0.0","",5.5,42.3,23.2,19,"4.5"
14,1006.8,1007.5,1009.4,"2013-08-14 21:49",1004.4,"2013-08-14 01:54",29.3,34.3,"2013-08-14 12:16",25.1,"2013-08-14 17:17",22.4,67,55,"2013-08-14 11:04",1.3,120,10.5,360,"2013-08-14 15:15","74.5",3.4,"18.0","2013-08-14 16:05","57.5","2013-08-14 16:04",0,0,9.55,13.9,"-2.7"
15,1006.9,1007.6,1008.6,"2013-08-15 09:33",1005.5,"2013-08-15 23:59",27.4,29.6,"2013-08-15 10:21",25.7,"2013-08-15 01:41",22.3,74,64,"2013-08-15 10:14",1.2,190,8,80,"2013-08-15 19:07","2.5",4.3,"0.5","2013-08-15 13:46","1.5","2013-08-15 13:26",0,0,8.74,13.4,"-0.1"
16,1003.1,1003.8,1005.6,"2013-08-16 00:01",1001.3,"2013-08-16 14:32",28.4,34.6,"2013-08-16 12:36",25.9,"2013-08-16 05:25",22.4,71,54,"2013-08-16 11:33",1.5,90,12.8,320,"2013-08-16 13:28","51.0",2.3,"15.5","2013-08-16 13:21","33.0","2013-08-16 17:14",5.6,43.3,16.81,17.6,"-3.9"
17,1002.1,1002.8,1003,"2013-08-17 08:22",1001.2,"2013-08-17 01:41",28.1,33.9,"2013-08-17 11:04",25.7,"2013-08-17 05:49",22.6,73,53,"2013-08-17 10:48",1.1,170,9,350,"2013-08-17 12:50","20.0",2.7,"3.5","2013-08-17 12:52","11.5","2013-08-17 12:52",4.9,37.9,15.62,16.6,"-2.7"
18,1001.6,1002.3,1003.2,"2013-08-18 08:09",999.8,"2013-08-18 16:55",29.3,33.8,"2013-08-18 13:24",25.1,"2013-08-18 04:45",22.7,68,55,"2013-08-18 16:57",1.2,290,9.1,270,"2013-08-18 13:37","0.0",0,"0.0","","0.0","",7.3,56.6,21.03,11.9,"4.4"
19,1000.2,1000.9,1001.7,"2013-08-19 08:09",998,"2013-08-19 15:45",30.6,36.2,"2013-08-19 13:50",26.4,"2013-08-19 04:39",23.2,65,49,"2013-08-19 13:38",1.3,350,8.8,280,"2013-08-19 12:52","0.0",0,"0.0","","0.0","",9,69.9,24.89,12.5,"-4.2"
20,997.4,998.1,1000.3,"2013-08-20 00:04",995,"2013-08-20 17:26",27.5,29.8,"2013-08-20 00:06",26,"2013-08-20 07:51",23.4,79,66,"2013-08-20 00:26",1.5,220,9.7,330,"2013-08-20 04:34","83.0",18.6,"9.0","2013-08-20 13:58","12.5","2013-08-20 10:53",0.2,1.6,5.54,5.9,"-1.0"
