"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1008.3,1011.8,1009.9,"2015-05-01 09:08",1006.7,"2015-05-01 15:17",24.6,29,"2015-05-01 10:39",21.7,"2015-05-01 05:07",20,76,64,"2015-05-01 10:39",0.8,150,6.4,60,"2015-05-01 00:24","2.4",5.1,"1.5","2015-05-01 16:25","2.4","2015-05-01 16:25",0.3,2.3,10.11,8.1,-0.9
2,1006.4,1009.9,1008.6,"2015-05-02 00:04",1004.3,"2015-05-02 15:41",27,33,"2015-05-02 12:24",23.1,"2015-05-02 00:03",21.9,74,56,"2015-05-02 11:56",1.1,150,8.2,340,"2015-05-02 13:43","1.3",0.4,"1.1","2015-05-02 14:22","1.3","2015-05-02 13:25",5.6,42.9,18.43,12.3,-2.8
3,1005.8,1009.3,1009,"2015-05-03 23:03",1004.1,"2015-05-03 14:38",27.6,34.1,"2015-05-03 12:18",23.2,"2015-05-03 23:59",22.2,73,52,"2015-05-03 10:58",2.3,90,11.5,280,"2015-05-03 12:15","1.1",2.3,"0.5","2015-05-03 23:53","0.6","2015-05-03 23:00",4.6,35.2,20.65,11.5,-3.9
4,1009.4,1013,1010.7,"2015-05-04 10:34",1008,"2015-05-04 01:12",21,23.1,"2015-05-04 00:01",19.7,"2015-05-04 04:52",18.1,84,78,"2015-05-04 17:58",3.9,90,11.8,70,"2015-05-04 02:56","39.6",14.6,"6.0","2015-05-04 01:22","25.0","2015-05-04 01:00",0,0,2.6,8.9,-1.6
5,1008,1011.6,1010.1,"2015-05-05 00:03",1006.1,"2015-05-05 17:09",19.7,21.2,"2015-05-05 21:13",18.1,"2015-05-05 04:11",17.6,88,84,"2015-05-05 00:14",3.2,80,10.8,70,"2015-05-05 00:10","41.3",16.4,"3.7","2015-05-05 07:12","11.8","2015-05-05 07:12",0,0,0.8,9.3,-1.8
6,1005.9,1009.4,1007.6,"2015-05-06 22:00",1004.3,"2015-05-06 15:49",24.1,27.5,"2015-05-06 10:54",20.6,"2015-05-06 00:28",21.2,84,76,"2015-05-06 09:34",0.5,170,4.5,300,"2015-05-06 10:48","T",1.4,"T","2015-05-06 13:27","T","2015-05-06 13:27",1.2,9.1,6.58,7.6,-0.6
7,1007.9,1011.4,1009.7,"2015-05-07 21:01",1005.8,"2015-05-07 02:07",24.6,29.8,"2015-05-07 13:50",22.6,"2015-05-07 03:19",21.4,82,72,"2015-05-07 13:27",2.2,70,11.9,60,"2015-05-07 17:31","0.0",0,"0.0","","0.0","",2.1,16,12.32,7.9,3.1
8,1006.1,1009.6,1008.6,"2015-05-08 00:01",1004.3,"2015-05-08 16:57",26,30.1,"2015-05-08 11:54",22.9,"2015-05-08 00:02",22.2,80,71,"2015-05-08 11:43",1.8,80,9,60,"2015-05-08 00:07","0.5",0.4,"0.3","2015-05-08 15:25","0.5","2015-05-08 15:10",1.4,10.6,8.39,13.9,-1.3
9,1006.5,1009.9,1009.6,"2015-05-09 21:07",1004.7,"2015-05-09 01:39",25.5,31.8,"2015-05-09 10:09",21.9,"2015-05-09 20:29",22.1,82,62,"2015-05-09 10:27",2,80,11.5,60,"2015-05-09 21:54","4.0",2.9,"3.4","2015-05-09 16:51","3.7","2015-05-09 16:45",3.2,24.2,10.57,8.5,-2.1
10,1007.8,1011.3,1009.6,"2015-05-10 10:34",1005.9,"2015-05-10 02:49",25.4,28.7,"2015-05-10 15:42",22.1,"2015-05-10 00:01",22,82,75,"2015-05-10 12:25",3.6,80,14.4,80,"2015-05-10 12:31","0.0",0,"0.0","","0.0","",5,37.8,19.82,16,3.7
