"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1012.2 ","1022.5 ","14.4 ","9.1 ","70 ","1.1 ","30.0 ","3.8 ","360.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1012.1 ","1022.4 ","14.5 ","8.9 ","69 ","2.7 ","360.0 ","6.5 ","350.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1012.1 ","1022.4 ","14.2 ","8.4 ","68 ","1.9 ","10.0 ","6.0 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1012.3 ","1022.6 ","14.0 ","8.0 ","67 ","2.1 ","350.0 ","5.4 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1012.7 ","1023.0 ","13.8 ","7.4 ","65 ","2.0 ","10.0 ","4.6 ","350.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"6","1013.4 ","1023.8 ","13.7 ","6.3 ","61 ","1.5 ","10.0 ","4.3 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1014.0 ","1024.4 ","13.6 ","6.0 ","60 ","1.6 ","360.0 ","4.9 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1015.1 ","1025.5 ","14.1 ","6.7 ","61 ","2.8 ","10.0 ","6.5 ","360.0 ","0.0 ","0.0 ","0.7 ","0.32 ","12.0 "
"9","1015.8 ","1026.1 ","16.0 ","6.7 ","54 ","2.9 ","10.0 ","5.8 ","30.0 ","0.0 ","0.0 ","1.0 ","1.07 ","12.0 "
"10","1015.8 ","1026.0 ","17.8 ","6.5 ","47 ","3.2 ","10.0 ","9.6 ","30.0 ","0.0 ","0.0 ","1.0 ","1.76 "," "
"11","1015.0 ","1025.2 ","19.6 ","7.8 ","46 ","2.9 ","10.0 ","8.6 ","330.0 ","0.0 ","0.0 ","1.0 ","2.40 ","12.0 "
"12","1014.1 ","1024.2 ","20.0 ","7.2 ","43 ","3.0 ","360.0 ","10.0 ","30.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"13","1013.2 ","1023.3 ","20.1 ","7.9 ","45 ","3.0 ","10.0 ","11.5 ","10.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"14","1012.8 ","1022.9 ","19.3 ","6.8 ","44 ","4.2 ","360.0 ","11.3 ","350.0 ","0.0 ","0.0 ","1.0 ","2.38 ","12.0 "
"15","1012.9 ","1023.1 ","18.1 ","6.3 ","46 ","4.8 ","360.0 ","12.6 ","360.0 ","0.0 ","0.0 ","1.0 ","1.78 "," "
"16","1013.7 ","1023.9 ","16.9 ","5.4 ","47 ","4.0 ","360.0 ","12.5 ","350.0 ","0.0 ","0.0 ","1.0 ","1.13 "," "
"17","1014.1 ","1024.4 ","15.2 ","4.7 ","49 ","4.6 ","10.0 ","13.2 ","360.0 ","0.0 ","0.0 ","0.9 ","0.44 ","12.0 "
"18","1014.6 ","1025.0 ","13.7 ","4.2 ","53 ","4.5 ","10.0 ","11.7 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1015.3 ","1025.7 ","12.7 ","3.2 ","52 ","5.1 ","10.0 ","10.9 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1015.8 ","1026.2 ","12.2 ","3.0 ","53 ","3.9 ","10.0 ","10.4 ","360.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1016.2 ","1026.6 ","11.9 ","3.2 ","55 ","4.1 ","10.0 ","8.5 ","30.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1016.1 ","1026.5 ","11.9 ","3.0 ","54 ","3.5 ","10.0 ","7.6 ","360.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1015.7 ","1026.2 ","11.6 ","2.5 ","54 ","2.9 ","360.0 ","7.7 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1015.3 ","1025.8 ","10.8 ","2.5 ","56 ","1.2 ","40.0 ","5.6 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
