"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1004.2 ","1014.2 ","21.1 ","16.6 ","75 ","0.6 ","60.0 ","2.0 ","300.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1004.2 ","1014.2 ","20.5 ","16.1 ","76 ","0.2 ","0.0 ","1.3 ","50.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"3","1003.9 ","1013.9 ","20.2 ","16.1 ","77 ","0.5 ","90.0 ","1.6 ","130.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1003.5 ","1013.5 ","20.0 ","15.9 ","77 ","0.5 ","90.0 ","1.5 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1003.7 ","1013.7 ","19.5 ","15.8 ","79 ","0.5 ","70.0 ","1.3 ","70.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"6","1004.4 ","1014.5 ","19.6 ","15.4 ","77 ","0.7 ","50.0 ","1.6 ","70.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1005.4 ","1015.4 ","20.5 ","15.7 ","74 ","0.1 ","0.0 ","1.4 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1005.8 ","1015.8 ","22.3 ","16.0 ","68 ","0.1 ","0.0 ","2.3 ","60.0 ","0.0 ","0.0 ","0.9 ","0.56 ","10.0 "
"9","1005.8 ","1015.7 ","24.6 ","16.5 ","61 ","0.3 ","170.0 ","1.3 ","70.0 ","0.0 ","0.0 ","1.0 ","1.35 ","10.0 "
"10","1005.3 ","1015.1 ","26.5 ","17.2 ","57 ","0.7 ","250.0 ","3.0 ","290.0 ","0.0 ","0.0 ","1.0 ","1.97 "," "
"11","1004.7 ","1014.5 ","28.0 ","17.1 ","52 ","1.1 ","300.0 ","3.3 ","240.0 ","0.0 ","0.0 ","1.0 ","2.40 ","10.0 "
"12","1003.8 ","1013.6 ","28.4 ","16.1 ","47 ","1.4 ","260.0 ","3.6 ","240.0 ","0.0 ","0.0 ","1.0 ","2.45 "," "
"13","1002.9 ","1012.6 ","28.6 ","17.3 ","50 ","2.2 ","330.0 ","4.7 ","340.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"14","1002.4 ","1012.1 ","29.0 ","18.0 ","52 ","1.8 ","340.0 ","4.7 ","330.0 ","0.0 ","0.0 ","0.8 ","2.18 ","12.0 "
"15","1002.5 ","1012.2 ","29.0 ","17.3 ","49 ","1.6 ","340.0 ","4.8 ","10.0 ","0.0 ","0.0 ","1.0 ","1.77 "," "
"16","1002.9 ","1012.7 ","27.8 ","16.5 ","50 ","2.0 ","20.0 ","5.2 ","350.0 ","0.0 ","0.0 ","1.0 ","0.94 "," "
"17","1003.5 ","1013.3 ","26.9 ","16.1 ","52 ","2.6 ","360.0 ","5.8 ","350.0 ","0.0 ","0.0 ","0.5 ","0.27 ","10.0 "
"18","1003.8 ","1013.6 ","26.0 ","17.4 ","59 ","1.6 ","360.0 ","4.5 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1004.4 ","1014.2 ","25.8 ","17.4 ","60 ","1.3 ","30.0 ","4.1 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1004.7 ","1014.6 ","24.4 ","17.6 ","66 ","0.9 ","310.0 ","3.2 ","40.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1005.2 ","1015.1 ","23.8 ","17.3 ","67 ","0.1 ","0.0 ","2.5 ","310.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1005.5 ","1015.4 ","23.1 ","17.1 ","69 ","0.7 ","120.0 ","2.4 ","130.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1005.2 ","1015.1 ","23.1 ","17.0 ","69 ","0.2 ","0.0 ","1.7 ","120.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1005.0 ","1015.0 ","22.3 ","16.7 ","71 ","0.0 ","0.0 ","1.2 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
