"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1002.0 ","1012.0 ","19.9 ","17.4 ","86 ","2.9 ","350.0 ","6.0 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1002.0 ","1012.1 ","18.7 ","16.2 ","85 ","2.8 ","360.0 ","6.4 ","350.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1001.3 ","1011.4 ","18.7 ","16.0 ","84 ","2.2 ","360.0 ","6.3 ","360.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1001.3 ","1011.4 ","18.4 ","15.7 ","84 ","1.2 ","340.0 ","4.0 ","290.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1001.7 ","1011.8 ","17.9 ","15.4 ","85 ","0.9 ","340.0 ","3.6 ","320.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1002.2 ","1012.3 ","18.2 ","15.4 ","84 ","1.6 ","10.0 ","4.1 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1002.9 ","1013.0 ","18.4 ","14.9 ","80 ","1.9 ","340.0 ","4.3 ","20.0 ","0.0 ","0.0 ","0.3 ","0.18 "," "
"8","1003.7 ","1013.7 ","19.6 ","15.2 ","76 ","2.2 ","10.0 ","7.8 ","10.0 ","0.0 ","0.0 ","0.9 ","0.83 ","12.0 "
"9","1004.0 ","1014.0 ","21.4 ","15.5 ","69 ","2.2 ","340.0 ","5.6 ","350.0 ","0.0 ","0.0 ","1.0 ","1.64 ","12.0 "
"10","1003.8 ","1013.7 ","22.8 ","15.3 ","63 ","2.3 ","340.0 ","5.8 ","350.0 ","0.0 ","0.0 ","1.0 ","2.46 "," "
"11","1003.5 ","1013.4 ","24.4 ","15.6 ","58 ","2.1 ","340.0 ","6.3 ","340.0 ","0.0 ","0.0 ","1.0 ","3.00 ","15.0 "
"12","1003.0 ","1012.8 ","26.3 ","16.1 ","53 ","2.9 ","340.0 ","6.4 ","40.0 ","0.0 ","0.0 ","1.0 ","3.46 "," "
"13","1002.0 ","1011.8 ","25.7 ","15.6 ","54 ","3.2 ","320.0 ","6.8 ","310.0 ","0.0 ","0.0 ","1.0 ","3.46 "," "
"14","1001.4 ","1011.2 ","26.4 ","15.8 ","52 ","2.8 ","340.0 ","6.4 ","310.0 ","0.0 ","0.0 ","1.0 ","3.00 ","12.0 "
"15","1001.1 ","1010.9 ","26.5 ","15.9 ","52 ","2.1 ","330.0 ","6.1 ","310.0 ","0.0 ","0.0 ","1.0 ","2.45 "," "
"16","1001.5 ","1011.3 ","25.2 ","15.3 ","54 ","2.4 ","340.0 ","6.6 ","310.0 ","0.0 ","0.0 ","0.9 ","1.62 "," "
"17","1001.8 ","1011.7 ","23.8 ","15.0 ","58 ","2.0 ","350.0 ","5.8 ","350.0 ","0.0 ","0.0 ","0.0 ","0.63 ","10.0 "
"18","1002.0 ","1011.9 ","22.6 ","14.6 ","61 ","1.8 ","320.0 ","4.9 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1002.4 ","1012.4 ","21.8 ","14.4 ","63 ","1.5 ","330.0 ","4.8 ","300.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1003.2 ","1013.2 ","20.4 ","13.8 ","66 ","1.7 ","320.0 ","5.3 ","350.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1004.2 ","1014.2 ","20.2 ","13.9 ","67 ","1.6 ","330.0 ","4.8 ","340.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1004.8 ","1014.9 ","19.6 ","13.8 ","69 ","1.2 ","340.0 ","4.6 ","310.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1004.6 ","1014.7 ","19.6 ","13.9 ","70 ","1.3 ","340.0 ","3.7 ","320.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1004.3 ","1014.3 ","19.7 ","13.9 ","69 ","1.2 ","280.0 ","3.5 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
