"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1022.4 ","1024.7 ","17.2 ","12.9 ","76 ","6.3 ","50.0 ","12.2 ","60.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1022.1 ","1024.4 ","17.0 ","12.7 ","76 ","6.4 ","40.0 ","13.1 ","60.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1022.2 ","1024.5 ","17.0 ","12.7 ","76 ","7.0 ","40.0 ","13.7 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1022.3 ","1024.6 ","17.1 ","12.5 ","74 ","6.9 ","40.0 ","12.6 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1022.6 ","1024.9 ","16.9 ","12.6 ","76 ","7.1 ","50.0 ","13.5 ","50.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1023.4 ","1025.7 ","16.8 ","13.1 ","79 ","7.0 ","50.0 ","13.3 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1024.2 ","1026.5 ","16.7 ","13.1 ","79 ","7.5 ","40.0 ","12.7 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1025.1 ","1027.4 ","17.0 ","13.4 ","79 ","5.8 ","50.0 ","12.5 ","30.0 ","0.0 ","0.0 ","0.0 ","0.26 ","15.0 "
"9","1025.6 ","1027.9 ","17.5 ","13.2 ","76 ","7.6 ","50.0 ","12.9 ","50.0 ","0.0 ","0.0 ","0.1 ","1.05 ","15.0 "
"10","1025.8 ","1028.1 ","18.4 ","13.6 ","74 ","6.6 ","50.0 ","12.2 ","30.0 ","0.0 ","0.0 ","0.1 ","1.69 "," "
"11","1025.3 ","1027.6 ","18.4 ","13.6 ","74 ","6.4 ","60.0 ","12.3 ","50.0 ","0.0 ","0.0 ","0.2 ","1.50 ","15.0 "
"12","1024.6 ","1026.9 ","18.0 ","13.6 ","75 ","6.4 ","50.0 ","11.4 ","40.0 ","0.0 ","0.0 ","0.0 ","1.22 "," "
"13","1023.7 ","1026.0 ","17.5 ","13.1 ","75 ","5.3 ","50.0 ","11.0 ","50.0 ","0.0 ","0.0 ","0.0 ","0.66 "," "
"14","1023.4 ","1025.7 ","17.4 ","12.6 ","73 ","5.2 ","40.0 ","10.6 ","30.0 ","0.0 ","0.0 ","0.0 ","0.60 ","10.0 "
"15","1023.2 ","1025.5 ","17.3 ","12.6 ","74 ","5.3 ","40.0 ","9.4 ","50.0 ","0.0 ","0.0 ","0.0 ","0.03 "," "
"16","1023.5 ","1025.8 ","17.1 ","12.2 ","73 ","6.2 ","40.0 ","11.1 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"17","1024.0 ","1026.3 ","16.9 ","12.3 ","74 ","5.8 ","40.0 ","10.7 ","60.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"18","1024.6 ","1026.9 ","16.7 ","13.0 ","79 ","5.4 ","40.0 ","11.0 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1025.1 ","1027.4 ","16.6 ","12.8 ","78 ","4.7 ","50.0 ","10.6 ","60.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1025.5 ","1027.8 ","16.6 ","12.7 ","78 ","5.7 ","50.0 ","9.9 ","60.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1025.5 ","1027.8 ","16.6 ","12.8 ","78 ","4.4 ","40.0 ","10.3 ","50.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1025.6 ","1027.9 ","16.7 ","12.5 ","76 ","3.7 ","20.0 ","8.2 ","50.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1025.6 ","1027.9 ","17.0 ","12.2 ","73 ","3.7 ","30.0 ","7.6 ","20.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1025.3 ","1027.6 ","16.8 ","12.9 ","78 ","4.0 ","30.0 ","8.4 ","50.0 ","0.0 ","0.0 "," ","0.00 "," "
