"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1013.4 ","1013.8 ","25.6 ","23.2 ","87 ","0.9 ","30.0 ","2.4 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1012.7 ","1013.1 ","25.6 ","23.2 ","87 ","1.2 ","20.0 ","2.3 ","30.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"3","1012.7 ","1013.1 ","25.3 ","23.1 ","88 ","1.2 ","30.0 ","2.8 ","30.0 ","T ","0.2 "," ","0.00 "," "
"4","1012.5 ","1012.9 ","25.3 ","23.0 ","87 ","1.1 ","20.0 ","2.7 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1012.6 ","1013.0 ","25.2 ","22.9 ","87 ","1.7 ","30.0 ","3.2 ","20.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"6","1012.8 ","1013.2 ","25.1 ","22.7 ","87 ","1.8 ","30.0 ","3.3 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1013.4 ","1013.8 ","25.4 ","23.0 ","87 ","1.6 ","40.0 ","3.6 ","20.0 ","0.0 ","0.0 ","0.0 ","0.06 "," "
"8","1013.6 ","1014.0 ","26.3 ","23.2 ","83 ","1.3 ","360.0 ","3.9 ","40.0 ","0.0 ","0.0 ","0.3 ","0.65 ","4.0 "
"9","1014.2 ","1014.6 ","28.2 ","23.7 ","77 ","1.6 ","340.0 ","3.0 ","330.0 ","0.0 ","0.0 ","0.9 ","1.35 ","5.0 "
"10","1014.7 ","1015.1 ","29.5 ","23.9 ","72 ","0.4 ","330.0 ","4.5 ","30.0 ","0.0 ","0.0 ","0.9 ","1.91 "," "
"11","1014.3 ","1014.7 ","28.9 ","24.4 ","77 ","2.5 ","280.0 ","4.3 ","270.0 ","0.0 ","0.0 ","0.3 ","1.62 ","3.0 "
"12","1013.9 ","1014.3 ","29.0 ","24.3 ","76 ","2.5 ","280.0 ","4.2 ","280.0 ","0.0 ","0.0 ","0.2 ","1.73 "," "
"13","1013.1 ","1013.5 ","28.4 ","23.8 ","76 ","1.3 ","190.0 ","4.5 ","270.0 ","0.0 ","0.0 ","0.0 ","0.74 "," "
"14","1012.4 ","1012.8 ","29.0 ","24.8 ","78 ","1.6 ","260.0 ","4.0 ","260.0 ","0.0 ","0.0 ","0.2 ","1.51 ","3.0 "
"15","1012.3 ","1012.7 ","28.5 ","24.3 ","78 ","1.3 ","220.0 ","4.5 ","270.0 ","0.0 ","0.0 ","0.3 ","1.27 "," "
"16","1012.3 ","1012.7 ","28.0 ","23.6 ","77 ","0.5 ","200.0 ","4.0 ","270.0 ","0.0 ","0.0 ","0.0 ","0.48 "," "
"17","1012.8 ","1013.2 ","27.7 ","24.2 ","81 ","1.6 ","270.0 ","2.9 ","260.0 ","0.0 ","0.0 ","0.0 ","0.00 ","6.0 "
"18","1013.1 ","1013.5 ","27.4 ","24.2 ","83 ","1.5 ","300.0 ","3.1 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1013.6 ","1014.0 ","27.4 ","23.7 ","80 ","2.0 ","310.0 ","3.1 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1014.3 ","1014.7 ","27.1 ","23.3 ","80 ","0.0 ","0.0 ","2.5 ","320.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"21","1014.5 ","1014.9 ","27.0 ","23.3 ","80 ","0.1 ","0.0 ","1.7 ","180.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"22","1014.7 ","1015.1 ","26.6 ","23.8 ","85 ","0.4 ","340.0 ","1.9 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1014.7 ","1015.1 ","26.6 ","23.5 ","83 ","1.5 ","20.0 ","3.2 ","40.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"24","1014.7 ","1015.1 ","25.8 ","22.7 ","83 ","2.1 ","340.0 ","3.8 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
