"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1008.9 ","1009.3 ","28.3 ","25.5 ","85 ","0.3 ","210.0 ","3.3 ","180.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1009.0 ","1009.4 ","28.1 ","25.7 ","87 ","0.0 ","0.0 ","2.3 ","210.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1008.9 ","1009.3 ","28.1 ","24.3 ","80 ","1.6 ","60.0 ","2.9 ","60.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1009.2 ","1009.6 ","27.6 ","23.5 ","78 ","1.8 ","60.0 ","4.1 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1009.6 ","1010.0 ","27.6 ","23.1 ","77 ","1.3 ","50.0 ","4.7 ","50.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1010.1 ","1010.5 ","27.9 ","22.8 ","74 ","1.8 ","50.0 ","4.2 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1010.4 ","1010.8 ","28.7 ","23.2 ","72 ","1.6 ","50.0 ","3.4 ","60.0 ","0.0 ","0.0 ","0.2 ","0.41 "," "
"8","1010.7 ","1011.1 ","30.1 ","24.6 ","72 ","1.3 ","30.0 ","2.8 ","30.0 ","0.0 ","0.0 ","0.2 ","0.61 ","12.0 "
"9","1011.3 ","1011.6 ","30.4 ","24.7 ","72 ","0.2 ","0.0 ","3.5 ","350.0 ","0.0 ","0.0 ","0.0 ","0.60 ","12.0 "
"10","1011.8 ","1012.1 ","30.3 ","24.6 ","72 ","2.1 ","310.0 ","4.0 ","310.0 ","0.0 ","0.0 ","0.0 ","0.84 "," "
"11","1011.7 ","1012.1 ","27.8 ","24.3 ","81 ","3.2 ","310.0 ","6.7 ","300.0 ","0.0 ","0.0 ","0.0 ","0.76 ","12.0 "
"12","1011.8 ","1012.2 ","29.1 ","24.1 ","74 ","2.9 ","300.0 ","6.0 ","280.0 ","0.0 ","0.0 ","0.0 ","1.21 "," "
"13","1011.6 ","1012.0 ","29.0 ","24.6 ","77 ","1.6 ","310.0 ","5.5 ","320.0 ","0.0 ","0.0 ","0.0 ","1.20 "," "
"14","1011.0 ","1011.4 ","28.5 ","24.1 ","77 ","2.1 ","300.0 ","5.0 ","320.0 ","0.0 ","0.0 ","0.0 ","0.80 ","10.0 "
"15","1010.5 ","1010.9 ","29.8 ","24.7 ","74 ","2.5 ","310.0 ","4.4 ","300.0 ","0.0 ","0.0 ","0.0 ","0.74 "," "
"16","1009.6 ","1009.9 ","30.6 ","24.2 ","69 ","2.1 ","310.0 ","3.9 ","310.0 ","0.0 ","0.0 ","0.4 ","1.17 "," "
"17","1009.6 ","1009.9 ","30.2 ","23.6 ","68 ","2.0 ","310.0 ","3.9 ","310.0 ","0.0 ","0.0 ","0.0 ","0.60 ","12.0 "
"18","1009.7 ","1010.1 ","29.1 ","23.7 ","73 ","1.9 ","290.0 ","4.0 ","280.0 ","0.0 ","0.0 ","0.3 ","0.19 "," "
"19","1010.1 ","1010.5 ","28.4 ","23.8 ","76 ","1.4 ","290.0 ","2.8 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1010.9 ","1011.3 ","28.4 ","24.3 ","79 ","0.0 ","0.0 ","2.2 ","310.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"21","1011.8 ","1012.2 ","28.8 ","24.6 ","78 ","0.1 ","0.0 ","1.8 ","200.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"22","1012.7 ","1013.1 ","28.7 ","25.2 ","81 ","1.1 ","190.0 ","2.5 ","210.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1012.9 ","1013.3 ","28.5 ","25.4 ","83 ","0.2 ","0.0 ","2.5 ","220.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"24","1012.5 ","1012.9 ","28.3 ","25.5 ","85 ","0.2 ","0.0 ","2.1 ","170.0 ","0.0 ","0.0 "," ","0.00 "," "
