"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1008.6 ","1018.7 ","18.5 ","12.3 ","67 ","0.3 ","110.0 ","1.6 ","230.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1007.7 ","1017.8 ","18.3 ","12.7 ","70 ","0.2 ","0.0 ","1.4 ","130.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1007.1 ","1017.2 ","18.6 ","12.6 ","68 ","0.0 ","0.0 ","2.1 ","240.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1006.9 ","1017.0 ","18.1 ","12.8 ","71 ","0.6 ","120.0 ","1.5 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1007.1 ","1017.2 ","18.0 ","12.8 ","72 ","0.0 ","0.0 ","1.6 ","110.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1006.8 ","1017.0 ","16.7 ","12.6 ","77 ","0.3 ","100.0 ","1.6 ","80.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1006.8 ","1017.0 ","16.1 ","12.1 ","77 ","0.0 ","0.0 ","1.5 ","70.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1007.4 ","1017.6 ","17.0 ","12.8 ","76 ","0.1 ","0.0 ","1.9 ","130.0 ","0.0 ","0.0 ","0.4 ","0.15 ","10.0 "
"9","1008.5 ","1018.6 ","18.7 ","13.4 ","71 ","0.9 ","130.0 ","2.0 ","140.0 ","0.0 ","0.0 ","0.0 ","0.37 ","10.0 "
"10","1008.7 ","1018.8 ","19.5 ","12.8 ","65 ","0.8 ","160.0 ","2.2 ","120.0 ","0.0 ","0.0 ","0.0 ","0.64 "," "
"11","1007.7 ","1017.7 ","21.4 ","12.4 ","56 ","1.6 ","240.0 ","2.9 ","230.0 ","0.0 ","0.0 ","0.1 ","1.08 ","10.0 "
"12","1006.5 ","1016.5 ","22.5 ","13.0 ","55 ","1.5 ","200.0 ","4.5 ","220.0 ","0.0 ","0.0 ","0.6 ","1.65 "," "
"13","1004.9 ","1014.8 ","23.0 ","13.5 ","55 ","1.3 ","210.0 ","4.8 ","220.0 ","0.0 ","0.0 ","0.5 ","1.53 "," "
"14","1004.8 ","1014.8 ","21.2 ","14.2 ","64 ","1.1 ","310.0 ","5.4 ","320.0 ","0.0 ","0.0 ","0.5 ","1.29 ","10.0 "
"15","1004.6 ","1014.6 ","20.2 ","14.2 ","68 ","2.4 ","340.0 ","5.3 ","320.0 ","0.0 ","0.0 ","0.0 ","0.56 "," "
"16","1005.0 ","1015.1 ","19.4 ","14.3 ","72 ","1.3 ","320.0 ","4.7 ","330.0 ","0.0 ","0.0 ","0.0 ","0.09 "," "
"17","1005.6 ","1015.7 ","18.6 ","14.3 ","76 ","1.6 ","300.0 ","4.1 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 ","10.0 "
"18","1006.5 ","1016.6 ","17.9 ","14.2 ","79 ","1.6 ","320.0 ","4.7 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1007.7 ","1017.8 ","17.8 ","14.3 ","80 ","1.7 ","330.0 ","4.5 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1008.1 ","1018.3 ","16.6 ","14.1 ","85 ","2.7 ","330.0 ","5.8 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1009.1 ","1019.3 ","15.9 ","13.7 ","87 ","2.1 ","340.0 ","8.2 ","340.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1009.6 ","1019.8 ","15.9 ","13.6 ","86 ","2.7 ","10.0 ","7.3 ","350.0 ","0.4 ","0.3 "," ","0.00 "," "
"23","1009.4 ","1019.6 ","15.9 ","14.3 ","90 ","1.0 ","30.0 ","4.3 ","360.0 ","1.4 ","1.0 "," ","0.00 ","6.0 "
"24","1009.1 ","1019.3 ","15.7 ","14.5 ","93 ","0.0 ","0.0 ","3.2 ","50.0 ","1.5 ","1.0 "," ","0.00 "," "
