"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1007.7 ","1017.8 ","20.3 ","17.0 ","81 ","0.0 ","0.0 ","2.3 ","240.0 ","0.3 ","0.5 "," ","0.00 "," "
"2","1007.5 ","1017.6 ","20.1 ","16.5 ","80 ","1.4 ","10.0 ","2.8 ","280.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1006.4 ","1016.5 ","20.0 ","16.5 ","80 ","1.5 ","20.0 ","3.9 ","330.0 ","0.1 ","0.4 "," ","0.00 "," "
"4","1006.5 ","1016.6 ","20.3 ","16.4 ","78 ","1.1 ","350.0 ","3.5 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1006.2 ","1016.2 ","20.4 ","16.4 ","78 ","0.7 ","30.0 ","2.8 ","30.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1006.8 ","1016.9 ","20.3 ","16.5 ","79 ","1.3 ","340.0 ","3.4 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1008.0 ","1018.1 ","19.8 ","16.1 ","79 ","2.4 ","360.0 ","5.4 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1008.8 ","1018.9 ","20.1 ","15.3 ","74 ","2.3 ","30.0 ","5.8 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 ","8.0 "
"9","1009.2 ","1019.3 ","20.3 ","15.8 ","75 ","0.9 ","40.0 ","4.8 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 ","8.0 "
"10","1008.9 ","1019.0 ","20.3 ","16.0 ","76 ","1.8 ","20.0 ","5.2 ","30.0 ","0.0 ","0.0 ","0.0 ","0.02 "," "
"11","1008.8 ","1018.9 ","20.7 ","16.0 ","74 ","1.5 ","10.0 ","4.8 ","30.0 ","0.0 ","0.0 ","0.0 ","0.02 ","10.0 "
"12","1007.8 ","1017.8 ","22.2 ","16.9 ","72 ","2.2 ","20.0 ","4.8 ","10.0 ","0.0 ","0.0 ","0.0 ","0.63 "," "
"13","1007.1 ","1017.1 ","21.7 ","16.5 ","72 ","2.0 ","330.0 ","4.9 ","20.0 ","0.0 ","0.0 ","0.0 ","0.94 "," "
"14","1006.6 ","1016.6 ","20.8 ","16.8 ","78 ","2.9 ","10.0 ","5.9 ","360.0 ","0.0 ","0.0 ","0.0 ","0.56 ","10.0 "
"15","1005.9 ","1015.9 ","20.6 ","17.0 ","80 ","2.0 ","340.0 ","6.2 ","10.0 ","0.0 ","0.0 ","0.0 ","0.32 "," "
"16","1005.3 ","1015.3 ","21.2 ","17.5 ","79 ","2.6 ","360.0 ","5.0 ","350.0 ","0.0 ","0.0 ","0.0 ","0.38 "," "
"17","1005.7 ","1015.7 ","20.8 ","17.3 ","80 ","1.9 ","340.0 ","5.3 ","20.0 ","0.0 ","0.0 ","0.0 ","0.24 ","10.0 "
"18","1005.9 ","1015.9 ","20.5 ","17.2 ","81 ","1.3 ","340.0 ","4.5 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1006.5 ","1016.6 ","20.3 ","17.2 ","82 ","1.4 ","360.0 ","4.5 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1007.0 ","1017.0 ","20.6 ","17.2 ","81 ","0.8 ","30.0 ","4.8 ","360.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1007.4 ","1017.4 ","20.7 ","17.4 ","81 ","0.3 ","30.0 ","2.2 ","310.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1007.6 ","1017.7 ","20.2 ","17.2 ","83 ","1.5 ","350.0 ","4.6 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1007.4 ","1017.5 ","20.0 ","17.1 ","83 ","1.3 ","360.0 ","5.0 ","20.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1007.4 ","1017.5 ","19.9 ","17.1 ","84 ","0.5 ","10.0 ","3.6 ","310.0 ","0.0 ","0.0 "," ","0.00 "," "
