"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","992.2 ","1001.8 ","28.2 ","25.0 ","83 ","1.4 ","160.0 ","3.8 ","170.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","992.0 ","1001.7 ","27.9 ","24.9 ","84 ","1.3 ","170.0 ","4.5 ","160.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"3","991.6 ","1001.3 ","27.8 ","24.5 ","82 ","0.8 ","190.0 ","3.9 ","190.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","991.6 ","1001.3 ","27.8 ","24.7 ","83 ","1.2 ","200.0 ","3.4 ","190.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","991.8 ","1001.4 ","28.0 ","24.7 ","82 ","1.9 ","180.0 ","4.5 ","130.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"6","992.8 ","1002.5 ","28.0 ","24.8 ","83 ","0.5 ","110.0 ","2.6 ","170.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","993.6 ","1003.3 ","28.2 ","24.9 ","82 ","1.5 ","220.0 ","3.1 ","200.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","994.5 ","1004.1 ","28.8 ","24.5 ","78 ","1.9 ","200.0 ","5.4 ","190.0 ","0.0 ","0.0 ","0.0 ","0.49 ","8.0 "
"9","995.3 ","1005.0 ","28.9 ","24.7 ","78 ","2.3 ","180.0 ","5.7 ","180.0 ","0.0 ","0.0 ","0.0 ","0.77 ","8.0 "
"10","995.1 ","1004.7 ","29.6 ","24.7 ","75 ","0.9 ","170.0 ","3.7 ","160.0 ","0.0 ","0.0 ","0.0 ","1.10 "," "
"11","995.1 ","1004.7 ","29.9 ","24.1 ","71 ","1.6 ","230.0 ","4.5 ","270.0 ","0.0 ","0.0 ","0.0 ","0.80 ","8.0 "
"12","995.0 ","1004.6 ","31.0 ","24.0 ","66 ","1.7 ","210.0 ","3.5 ","260.0 ","0.0 ","0.0 ","0.0 ","0.92 "," "
"13","995.0 ","1004.6 ","30.8 ","24.0 ","67 ","1.9 ","240.0 ","4.7 ","240.0 ","0.0 ","0.0 ","0.0 ","0.71 "," "
"14","994.8 ","1004.4 ","30.9 ","23.8 ","66 ","2.3 ","230.0 ","5.7 ","240.0 ","0.0 ","0.0 ","0.0 ","0.60 ","8.0 "
"15","994.5 ","1004.1 ","30.8 ","23.6 ","66 ","1.3 ","250.0 ","5.8 ","250.0 ","0.0 ","0.0 ","0.0 ","0.89 "," "
"16","995.0 ","1004.6 ","30.3 ","23.8 ","68 ","1.8 ","250.0 ","5.6 ","230.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"17","995.2 ","1004.8 ","29.3 ","24.2 ","74 ","1.7 ","260.0 ","5.2 ","220.0 ","0.0 ","0.0 ","0.0 ","0.00 ","6.0 "
"18","995.5 ","1005.2 ","28.8 ","24.0 ","75 ","1.5 ","270.0 ","4.5 ","270.0 ","0.2 ","0.1 ","0.0 ","0.00 "," "
"19","996.6 ","1006.3 ","28.7 ","24.1 ","76 ","0.6 ","290.0 ","3.4 ","230.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","997.2 ","1006.9 ","28.7 ","24.2 ","77 ","1.2 ","320.0 ","4.8 ","20.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"21","999.1 ","1008.9 ","26.3 ","23.9 ","87 ","1.9 ","230.0 ","5.6 ","190.0 ","1.3 ","0.2 "," ","0.00 ","6.0 "
"22","1000.2 ","1010.1 ","23.7 ","22.0 ","90 ","2.0 ","140.0 ","6.8 ","180.0 ","8.1 ","1.0 "," ","0.00 "," "
"23","1000.0 ","1009.9 ","24.3 ","22.5 ","90 ","1.1 ","30.0 ","5.1 ","150.0 ","3.6 ","1.0 "," ","0.00 ","6.0 "
"24","999.5 ","1009.3 ","24.5 ","23.0 ","91 ","0.1 ","0.0 ","2.2 ","70.0 ","0.5 ","1.0 "," ","0.00 "," "
