"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1004.7 ","1014.8 ","18.1 ","16.8 ","92 ","1.4 ","150.0 ","4.6 ","160.0 ","3.8 ","1.0 "," ","0.00 "," "
"2","1003.6 ","1013.7 ","18.5 ","17.3 ","93 ","1.4 ","150.0 ","4.0 ","170.0 ","4.0 ","1.0 "," ","0.00 ","6.0 "
"3","1002.1 ","1012.1 ","19.3 ","17.6 ","90 ","0.7 ","140.0 ","5.8 ","190.0 ","3.9 ","0.9 "," ","0.00 "," "
"4","1001.8 ","1011.8 ","19.0 ","17.8 ","93 ","0.5 ","310.0 ","3.2 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1001.7 ","1011.7 ","19.1 ","17.8 ","92 ","1.3 ","10.0 ","2.8 ","350.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1002.1 ","1012.2 ","19.0 ","17.5 ","91 ","2.4 ","360.0 ","6.8 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1002.6 ","1012.6 ","19.3 ","17.8 ","91 ","2.5 ","350.0 ","6.8 ","350.0 ","0.0 ","0.0 ","0.1 ","0.11 "," "
"8","1003.4 ","1013.4 ","20.1 ","17.8 ","87 ","2.8 ","340.0 ","6.7 ","20.0 ","0.0 ","0.0 ","1.0 ","1.01 ","12.0 "
"9","1003.6 ","1013.6 ","22.0 ","17.7 ","77 ","2.2 ","360.0 ","7.1 ","310.0 ","0.0 ","0.0 ","0.9 ","1.86 ","12.0 "
"10","1003.7 ","1013.6 ","23.2 ","17.3 ","69 ","2.3 ","330.0 ","5.8 ","310.0 ","0.0 ","0.0 ","1.0 ","2.48 "," "
"11","1003.5 ","1013.3 ","25.6 ","18.2 ","64 ","2.2 ","360.0 ","5.3 ","330.0 ","0.0 ","0.0 ","1.0 ","3.06 ","12.0 "
"12","1002.6 ","1012.4 ","26.1 ","17.7 ","60 ","2.0 ","340.0 ","5.2 ","340.0 ","0.0 ","0.0 ","0.6 ","2.93 "," "
"13","1001.9 ","1011.7 ","26.8 ","18.2 ","59 ","2.3 ","350.0 ","5.9 ","350.0 ","0.0 ","0.0 ","0.9 ","3.27 "," "
"14","1001.7 ","1011.5 ","26.1 ","17.4 ","59 ","2.4 ","340.0 ","7.4 ","30.0 ","0.0 ","0.0 ","0.9 ","2.83 ","12.0 "
"15","1001.6 ","1011.5 ","24.2 ","17.0 ","64 ","1.9 ","350.0 ","7.2 ","320.0 ","0.0 ","0.0 ","0.2 ","1.57 "," "
"16","1001.4 ","1011.3 ","24.4 ","17.1 ","64 ","1.3 ","320.0 ","6.2 ","360.0 ","0.0 ","0.0 ","0.1 ","1.13 "," "
"17","1001.8 ","1011.7 ","23.8 ","17.1 ","66 ","2.0 ","330.0 ","3.9 ","320.0 ","0.0 ","0.0 ","0.0 ","0.30 ","12.0 "
"18","1001.9 ","1011.8 ","23.0 ","17.3 ","70 ","1.5 ","320.0 ","4.1 ","320.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1002.5 ","1012.5 ","21.9 ","17.0 ","74 ","1.3 ","340.0 ","4.2 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1002.9 ","1012.9 ","21.9 ","17.2 ","75 ","0.9 ","310.0 ","3.4 ","310.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"21","1003.1 ","1013.1 ","21.0 ","17.0 ","78 ","1.2 ","340.0 ","3.4 ","330.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"22","1003.4 ","1013.4 ","20.6 ","16.8 ","79 ","2.0 ","310.0 ","4.8 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1003.7 ","1013.7 ","20.8 ","16.9 ","78 ","0.9 ","300.0 ","3.2 ","320.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"24","1004.1 ","1014.1 ","20.3 ","16.8 ","80 ","0.8 ","10.0 ","2.6 ","300.0 ","0.0 ","0.0 "," ","0.00 "," "
