"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1015.3 ","1017.6 ","19.0 ","17.1 ","89 ","1.7 ","330.0 ","5.8 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1014.7 ","1017.0 ","19.1 ","17.4 ","90 ","1.4 ","340.0 ","3.3 ","350.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1014.3 ","1016.6 ","19.1 ","17.2 ","89 ","0.6 ","320.0 ","4.3 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1014.9 ","1017.2 ","19.5 ","16.6 ","83 ","3.4 ","360.0 ","9.2 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1015.5 ","1017.8 ","18.7 ","16.9 ","89 ","0.6 ","250.0 ","4.8 ","10.0 ","2.5 ","0.9 "," ","0.00 ","8.0 "
"6","1015.9 ","1018.2 ","18.6 ","17.0 ","90 ","1.7 ","290.0 ","4.7 ","360.0 ","1.0 ","1.0 ","0.0 ","0.00 "," "
"7","1016.3 ","1018.6 ","18.8 ","17.2 ","90 ","1.6 ","340.0 ","2.6 ","290.0 ","T ","1.0 ","0.0 ","0.00 "," "
"8","1016.4 ","1018.7 ","19.1 ","17.5 ","90 ","1.0 ","330.0 ","2.4 ","360.0 ","T ","1.0 ","0.0 ","0.00 ","8.0 "
"9","1016.8 ","1019.1 ","19.5 ","17.7 ","89 ","0.9 ","290.0 ","3.7 ","290.0 ","T ","0.3 ","0.0 ","0.03 ","10.0 "
"10","1016.9 ","1019.2 ","20.0 ","17.0 ","83 ","1.3 ","320.0 ","3.7 ","340.0 ","0.0 ","0.0 ","0.0 ","0.17 "," "
"11","1017.1 ","1019.4 ","19.4 ","16.7 ","84 ","2.7 ","20.0 ","6.3 ","20.0 ","0.5 ","0.5 ","0.0 ","0.00 ","8.0 "
"12","1016.9 ","1019.2 ","18.9 ","16.5 ","86 ","3.4 ","10.0 ","9.0 ","30.0 ","0.5 ","1.0 ","0.0 ","0.00 "," "
"13","1016.2 ","1018.5 ","18.8 ","16.4 ","86 ","4.3 ","10.0 ","8.8 ","10.0 ","1.5 ","1.0 ","0.0 ","0.00 "," "
"14","1015.8 ","1018.1 ","19.6 ","15.2 ","76 ","4.7 ","20.0 ","9.6 ","30.0 ","T ","1.0 ","0.0 ","0.05 ","8.0 "
"15","1015.9 ","1018.2 ","18.7 ","15.9 ","84 ","2.9 ","10.0 ","9.0 ","60.0 ","0.5 ","0.5 ","0.0 ","0.09 "," "
"16","1015.4 ","1017.7 ","19.5 ","14.8 ","74 ","5.1 ","30.0 ","9.2 ","20.0 ","0.0 ","0.0 ","0.0 ","0.01 "," "
"17","1016.2 ","1018.5 ","19.5 ","14.2 ","71 ","4.7 ","30.0 ","9.7 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 ","10.0 "
"18","1016.9 ","1019.2 ","19.6 ","13.5 ","68 ","4.8 ","30.0 ","9.9 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1017.2 ","1019.5 ","19.4 ","13.1 ","67 ","3.8 ","10.0 ","7.6 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1017.6 ","1019.9 ","18.9 ","13.8 ","72 ","1.4 ","290.0 ","5.4 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1018.6 ","1020.9 ","19.2 ","13.3 ","69 ","3.0 ","40.0 ","5.9 ","50.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1018.5 ","1020.8 ","18.8 ","13.7 ","72 ","1.4 ","330.0 ","5.7 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1018.1 ","1020.4 ","18.3 ","14.1 ","76 ","0.5 ","260.0 ","3.2 ","360.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1017.5 ","1019.8 ","18.1 ","14.5 ","79 ","1.2 ","290.0 ","2.8 ","310.0 ","0.0 ","0.0 "," ","0.00 "," "
