"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1006.9 ","1007.2 ","29.7 ","25.4 ","78 ","2.4 ","160.0 ","6.6 ","170.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1006.0 ","1006.3 ","29.6 ","25.1 ","77 ","2.8 ","150.0 ","5.5 ","160.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1005.6 ","1005.9 ","29.4 ","25.5 ","80 ","2.8 ","150.0 ","6.3 ","140.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1006.1 ","1006.4 ","29.5 ","25.4 ","79 ","2.6 ","150.0 ","5.5 ","180.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1006.1 ","1006.4 ","29.3 ","25.5 ","80 ","2.1 ","160.0 ","5.0 ","160.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1006.6 ","1006.9 ","29.6 ","25.5 ","79 ","2.2 ","160.0 ","5.0 ","190.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1007.0 ","1007.3 ","29.5 ","25.3 ","78 ","2.4 ","160.0 ","5.3 ","170.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1007.2 ","1007.5 ","31.4 ","26.4 ","75 ","1.3 ","160.0 ","3.9 ","170.0 ","0.0 ","0.0 ","0.7 ","1.02 ","15.0 "
"9","1007.2 ","1007.5 ","32.0 ","26.9 ","75 ","2.5 ","180.0 ","4.3 ","190.0 ","0.0 ","0.0 ","1.0 ","2.04 ","15.0 "
"10","1007.1 ","1007.4 ","31.8 ","26.9 ","75 ","2.6 ","180.0 ","5.0 ","180.0 ","0.0 ","0.0 ","1.0 ","2.73 "," "
"11","1006.6 ","1006.9 ","32.8 ","27.0 ","72 ","2.5 ","200.0 ","5.3 ","170.0 ","0.0 ","0.0 ","1.0 ","3.00 ","20.0 "
"12","1006.4 ","1006.7 ","33.0 ","26.9 ","70 ","2.8 ","220.0 ","5.6 ","230.0 ","0.0 ","0.0 ","1.0 ","3.53 "," "
"13","1005.6 ","1005.9 ","32.7 ","26.8 ","71 ","3.1 ","230.0 ","6.2 ","240.0 ","0.0 ","0.0 ","1.0 ","3.49 "," "
"14","1005.3 ","1005.6 ","33.2 ","27.3 ","71 ","3.1 ","250.0 ","7.1 ","210.0 ","0.0 ","0.0 ","1.0 ","3.00 ","20.0 "
"15","1005.0 ","1005.3 ","33.0 ","26.8 ","70 ","4.2 ","260.0 ","6.9 ","270.0 ","0.0 ","0.0 ","1.0 ","2.67 "," "
"16","1004.3 ","1004.6 ","32.2 ","26.6 ","72 ","4.5 ","280.0 ","6.9 ","290.0 ","0.0 ","0.0 ","1.0 ","2.09 "," "
"17","1004.3 ","1004.6 ","32.3 ","26.7 ","72 ","3.0 ","290.0 ","6.5 ","290.0 ","0.0 ","0.0 ","1.0 ","1.42 ","20.0 "
"18","1004.6 ","1004.9 ","31.2 ","25.8 ","73 ","3.4 ","310.0 ","6.1 ","330.0 ","0.0 ","0.0 ","1.0 ","0.67 "," "
"19","1004.9 ","1005.2 ","30.8 ","24.9 ","71 ","2.9 ","310.0 ","6.0 ","310.0 ","0.0 ","0.0 ","0.5 ","0.01 "," "
"20","1005.3 ","1005.6 ","30.6 ","24.4 ","70 ","2.9 ","340.0 ","6.1 ","310.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"21","1005.3 ","1005.6 ","30.4 ","24.7 ","72 ","2.1 ","340.0 ","4.8 ","310.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"22","1005.6 ","1005.9 ","30.2 ","24.6 ","72 ","1.5 ","330.0 ","3.8 ","320.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1005.4 ","1005.7 ","29.7 ","25.2 ","77 ","1.5 ","280.0 ","3.4 ","310.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"24","1004.9 ","1005.2 ","29.5 ","25.2 ","78 ","0.9 ","240.0 ","2.4 ","270.0 ","0.0 ","0.0 "," ","0.00 "," "
