"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1010.2 ","1012.4 ","22.9 ","18.3 ","75 ","0.8 ","250.0 ","5.3 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1009.8 ","1012.0 ","23.9 ","16.2 ","62 ","3.3 ","30.0 ","6.4 ","30.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1009.5 ","1011.7 ","23.9 ","16.1 ","62 ","3.5 ","40.0 ","7.2 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1009.6 ","1011.8 ","23.6 ","15.0 ","59 ","3.5 ","30.0 ","7.7 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1009.7 ","1011.9 ","23.6 ","14.5 ","57 ","4.0 ","30.0 ","8.1 ","30.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1009.9 ","1012.1 ","23.0 ","15.0 ","61 ","2.9 ","360.0 ","8.2 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1010.1 ","1012.3 ","23.1 ","16.6 ","67 ","2.3 ","270.0 ","5.3 ","20.0 ","0.0 ","0.0 ","0.6 ","0.30 "," "
"8","1010.4 ","1012.6 ","24.7 ","16.5 ","60 ","1.1 ","70.0 ","3.0 ","260.0 ","0.0 ","0.0 ","0.9 ","0.99 ","15.0 "
"9","1010.4 ","1012.6 ","25.1 ","15.6 ","56 ","1.2 ","40.0 ","5.0 ","350.0 ","0.0 ","0.0 ","0.0 ","0.73 ","15.0 "
"10","1009.7 ","1011.9 ","26.8 ","16.1 ","52 ","4.5 ","60.0 ","7.3 ","50.0 ","0.0 ","0.0 ","0.2 ","1.54 "," "
"11","1009.1 ","1011.3 ","26.7 ","16.0 ","52 ","3.7 ","40.0 ","8.0 ","50.0 ","0.0 ","0.0 ","0.4 ","2.15 ","15.0 "
"12","1008.2 ","1010.4 ","26.9 ","16.2 ","52 ","3.8 ","60.0 ","7.9 ","70.0 ","0.0 ","0.0 ","0.1 ","1.74 "," "
"13","1007.5 ","1009.7 ","26.7 ","15.8 ","51 ","2.7 ","20.0 ","6.3 ","60.0 ","0.0 ","0.0 ","0.1 ","1.65 "," "
"14","1007.1 ","1009.3 ","25.8 ","17.0 ","58 ","4.0 ","50.0 ","6.9 ","40.0 ","0.0 ","0.0 ","0.0 ","0.82 ","15.0 "
"15","1006.9 ","1009.1 ","25.7 ","17.1 ","59 ","3.2 ","40.0 ","7.5 ","20.0 ","0.0 ","0.0 ","0.1 ","0.60 "," "
"16","1007.0 ","1009.2 ","25.1 ","17.2 ","62 ","4.6 ","30.0 ","7.6 ","10.0 ","0.0 ","0.0 ","0.0 ","0.19 "," "
"17","1007.3 ","1009.5 ","24.8 ","17.4 ","63 ","3.7 ","20.0 ","6.9 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"18","1007.3 ","1009.5 ","24.7 ","17.4 ","64 ","3.6 ","20.0 ","8.1 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1007.9 ","1010.1 ","24.6 ","17.6 ","65 ","2.7 ","10.0 ","7.4 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1008.3 ","1010.5 ","24.2 ","17.7 ","67 ","1.8 ","360.0 ","5.2 ","30.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1008.8 ","1011.0 ","24.0 ","17.9 ","69 ","1.6 ","350.0 ","4.2 ","350.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1009.1 ","1011.3 ","23.8 ","17.7 ","69 ","1.6 ","340.0 ","3.3 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1008.9 ","1011.1 ","23.3 ","17.4 ","69 ","1.6 ","330.0 ","3.0 ","320.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1008.4 ","1010.6 ","23.0 ","17.2 ","70 ","1.6 ","330.0 ","2.8 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
