"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1014.9 ","1017.2 ","20.1 ","18.5 ","91 ","2.5 ","250.0 ","3.8 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1014.4 ","1016.7 ","20.1 ","18.6 ","91 ","2.0 ","260.0 ","4.2 ","250.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1014.0 ","1016.3 ","20.0 ","18.4 ","91 ","2.2 ","250.0 ","4.0 ","260.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1013.8 ","1016.1 ","20.2 ","18.3 ","89 ","1.6 ","260.0 ","3.1 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1014.5 ","1016.8 ","20.2 ","18.4 ","89 ","1.5 ","230.0 ","3.1 ","280.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1014.7 ","1017.0 ","20.3 ","18.3 ","88 ","1.4 ","270.0 ","3.2 ","250.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1015.3 ","1017.6 ","20.5 ","18.3 ","87 ","1.9 ","250.0 ","3.5 ","250.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1015.9 ","1018.2 ","20.9 ","18.5 ","86 ","1.1 ","10.0 ","3.0 ","200.0 ","0.0 ","0.0 ","0.0 ","0.02 ","12.0 "
"9","1016.3 ","1018.6 ","21.1 ","18.6 ","86 ","1.8 ","20.0 ","7.9 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"10","1016.2 ","1018.5 ","21.0 ","18.7 ","87 ","3.7 ","20.0 ","6.5 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"11","1015.9 ","1018.2 ","21.5 ","19.2 ","87 ","3.5 ","40.0 ","7.7 ","30.0 ","0.0 ","0.0 ","0.0 ","0.28 ","10.0 "
"12","1015.8 ","1018.1 ","21.7 ","18.4 ","82 ","5.3 ","30.0 ","7.8 ","20.0 ","0.0 ","0.0 ","0.0 ","0.59 "," "
"13","1015.0 ","1017.2 ","21.7 ","18.7 ","83 ","4.4 ","40.0 ","9.8 ","20.0 ","0.0 ","0.0 ","0.0 ","0.60 "," "
"14","1014.8 ","1017.0 ","21.7 ","18.3 ","81 ","4.2 ","30.0 ","9.0 ","50.0 ","0.0 ","0.0 ","0.0 ","0.58 ","10.0 "
"15","1014.5 ","1016.8 ","21.0 ","17.7 ","81 ","6.8 ","50.0 ","10.8 ","30.0 ","0.0 ","0.0 ","0.0 ","0.22 "," "
"16","1014.8 ","1017.1 ","20.9 ","17.4 ","80 ","7.2 ","40.0 ","11.7 ","60.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"17","1015.1 ","1017.4 ","20.7 ","17.3 ","81 ","5.6 ","30.0 ","11.6 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 ","10.0 "
"18","1015.7 ","1018.0 ","20.6 ","17.3 ","81 ","5.8 ","40.0 ","10.3 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1016.2 ","1018.5 ","20.4 ","16.9 ","80 ","6.2 ","40.0 ","11.6 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1016.8 ","1019.1 ","20.2 ","16.8 ","81 ","6.6 ","40.0 ","11.6 ","40.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1017.3 ","1019.6 ","20.1 ","16.2 ","78 ","5.1 ","40.0 ","11.6 ","40.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1017.7 ","1020.0 ","20.0 ","16.1 ","78 ","5.7 ","40.0 ","10.6 ","50.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1017.6 ","1019.9 ","20.0 ","16.0 ","78 ","4.2 ","40.0 ","9.8 ","40.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1017.5 ","1019.8 ","19.9 ","15.7 ","77 ","3.9 ","30.0 ","8.2 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
