"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","983.7 ","984.4 ","26.2 ","21.9 ","77 ","6.7 ","360.0 ","25.4 ","30.0 ","6.5 ","1.0 "," ","0.00 ","5.0 "
"2","975.8 ","976.5 ","25.6 ","22.4 ","83 ","6.5 ","340.0 ","24.9 ","320.0 ","18.0 ","1.0 "," ","0.00 ","2.0 "
"3","965.3 ","966.0 ","25.8 ","22.2 ","81 ","8.4 ","360.0 ","31.2 ","20.0 ","12.0 ","1.0 "," ","0.00 ","4.0 "
"4","962.5 ","963.2 ","26.6 ","22.5 ","78 ","10.3 ","70.0 ","33.8 ","50.0 ","4.5 ","1.0 "," ","0.00 ","3.0 "
"5","971.3 ","972.0 ","24.3 ","22.7 ","91 ","9.8 ","80.0 ","31.8 ","90.0 ","12.5 ","1.0 "," ","0.00 ","4.0 "
"6","972.5 ","973.2 ","24.6 ","23.3 ","92 ","8.5 ","80.0 ","23.1 ","70.0 ","4.5 ","1.0 ","0.0 ","0.00 ","5.0 "
"7","972.8 ","973.5 ","25.3 ","23.9 ","92 ","8.4 ","80.0 ","23.3 ","90.0 ","2.0 ","1.0 ","0.0 ","0.00 ","8.0 "
"8","974.4 ","975.1 ","24.8 ","23.8 ","94 ","4.6 ","140.0 ","15.2 ","90.0 ","1.5 ","1.0 ","0.0 ","0.17 ","10.0 "
"9","979.0 ","979.7 ","27.4 ","23.7 ","80 ","3.4 ","210.0 ","13.1 ","120.0 ","0.5 ","0.4 ","0.0 ","0.58 ","10.0 "
"10","983.8 ","984.5 ","26.8 ","23.2 ","81 ","1.0 ","200.0 ","10.9 ","210.0 ","0.5 ","1.0 ","0.0 ","0.64 ","13.0 "
"11","987.6 ","988.3 ","27.2 ","23.4 ","80 ","1.4 ","260.0 ","10.1 ","260.0 ","1.0 ","1.0 ","0.0 ","0.74 ","13.0 "
"12","990.3 ","991.0 ","27.2 ","22.9 ","77 ","0.8 ","190.0 ","6.7 ","290.0 ","T ","1.0 ","0.0 ","0.68 ","20.0 "
"13","992.8 ","993.5 ","27.5 ","23.3 ","78 ","0.6 ","260.0 ","5.4 ","280.0 ","T ","0.8 ","0.0 ","0.90 ","20.0 "
"14","993.5 ","994.2 ","28.6 ","23.1 ","72 ","0.5 ","140.0 ","6.4 ","90.0 ","T ","0.4 ","0.0 ","1.07 ","20.0 "
"15","995.0 ","995.7 ","28.5 ","23.6 ","75 ","0.2 ","0.0 ","5.3 ","290.0 ","0.0 ","0.0 ","0.0 ","0.62 ","20.0 "
"16","996.6 ","997.3 ","27.9 ","23.4 ","77 ","0.2 ","0.0 ","2.7 ","270.0 ","T ","0.3 ","0.0 ","0.47 ","18.0 "
"17","998.7 ","999.4 ","27.5 ","21.8 ","71 ","4.5 ","270.0 ","9.8 ","280.0 ","0.0 ","0.0 ","0.0 ","0.54 ","16.0 "
"18","999.7 ","1000.4 ","26.9 ","21.4 ","72 ","0.4 ","310.0 ","13.4 ","280.0 ","0.0 ","0.0 ","0.0 ","0.06 "," "
"19","1001.1 ","1001.8 ","26.2 ","21.4 ","75 ","0.4 ","V ","5.3 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1001.6 ","1002.3 ","26.1 ","21.5 ","76 ","0.6 ","150.0 ","2.5 ","200.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"21","1003.1 ","1003.8 ","26.6 ","21.7 ","75 ","1.2 ","290.0 ","4.0 ","290.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"22","1003.4 ","1004.1 ","25.9 ","21.5 ","77 ","1.9 ","110.0 ","3.3 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1003.2 ","1003.9 ","26.1 ","21.5 ","76 ","2.2 ","100.0 ","4.4 ","70.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"24","1003.2 ","1003.9 ","25.5 ","21.4 ","78 ","0.0 ","0.0 ","2.4 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
