"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1015.2 ","1015.6 ","26.3 ","22.9 ","82 ","0.7 ","80.0 ","2.4 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1014.7 ","1015.1 ","25.9 ","22.8 ","83 ","0.0 ","0.0 ","2.2 ","70.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"3","1014.4 ","1014.8 ","25.9 ","22.6 ","82 ","0.0 ","0.0 ","1.3 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1014.3 ","1014.7 ","25.4 ","22.5 ","84 ","0.1 ","0.0 ","1.9 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1014.6 ","1015.0 ","25.3 ","22.6 ","85 ","0.0 ","0.0 ","1.5 ","20.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"6","1014.9 ","1015.3 ","25.1 ","21.9 ","82 ","0.7 ","80.0 ","2.0 ","70.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1015.6 ","1016.0 ","25.6 ","22.4 ","83 ","0.7 ","40.0 ","2.4 ","40.0 ","0.0 ","0.0 ","0.0 ","0.24 "," "
"8","1016.0 ","1016.4 ","26.6 ","23.1 ","81 ","0.0 ","0.0 ","2.2 ","20.0 ","0.0 ","0.0 ","0.1 ","0.65 ","3.0 "
"9","1016.5 ","1016.9 ","27.7 ","24.0 ","80 ","1.1 ","190.0 ","2.3 ","170.0 ","0.0 ","0.0 ","0.1 ","1.01 ","3.0 "
"10","1015.9 ","1016.3 ","27.9 ","24.0 ","79 ","0.7 ","200.0 ","2.7 ","210.0 ","0.0 ","0.0 ","0.1 ","1.20 "," "
"11","1015.4 ","1015.8 ","28.0 ","24.5 ","81 ","1.7 ","210.0 ","4.4 ","200.0 ","0.0 ","0.0 ","0.2 ","1.45 ","3.0 "
"12","1014.5 ","1014.9 ","29.0 ","24.4 ","76 ","1.1 ","230.0 ","4.5 ","230.0 ","0.0 ","0.0 ","0.5 ","1.93 "," "
"13","1013.5 ","1013.9 ","29.3 ","24.1 ","74 ","2.2 ","270.0 ","4.8 ","270.0 ","0.0 ","0.0 ","0.3 ","1.77 "," "
"14","1012.8 ","1013.2 ","28.7 ","23.1 ","72 ","2.5 ","230.0 ","5.3 ","230.0 ","0.0 ","0.0 ","0.0 ","1.36 ","3.0 "
"15","1012.5 ","1012.9 ","28.2 ","23.1 ","74 ","2.2 ","230.0 ","5.4 ","220.0 ","0.0 ","0.0 ","0.1 ","1.11 "," "
"16","1012.5 ","1012.9 ","28.0 ","22.8 ","73 ","2.5 ","270.0 ","5.2 ","230.0 ","0.0 ","0.0 ","0.0 ","0.16 "," "
"17","1012.5 ","1012.9 ","27.4 ","23.3 ","78 ","1.1 ","330.0 ","4.8 ","270.0 ","0.0 ","0.0 ","0.0 ","0.00 ","4.0 "
"18","1013.0 ","1013.4 ","26.9 ","22.9 ","79 ","2.3 ","320.0 ","4.4 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1013.6 ","1014.0 ","27.2 ","22.6 ","76 ","1.0 ","330.0 ","4.1 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1014.0 ","1014.4 ","26.6 ","23.1 ","81 ","0.8 ","240.0 ","4.0 ","230.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"21","1013.8 ","1014.2 ","27.3 ","22.5 ","75 ","0.6 ","360.0 ","2.8 ","270.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"22","1013.6 ","1014.0 ","27.1 ","22.3 ","75 ","0.8 ","20.0 ","3.1 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1013.5 ","1013.9 ","26.8 ","22.2 ","76 ","0.8 ","20.0 ","2.8 ","30.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"24","1013.4 ","1013.8 ","26.4 ","22.1 ","77 ","0.9 ","10.0 ","2.6 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
