"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1006.7 ","1007.1 ","27.3 ","24.7 ","86 ","0.7 ","260.0 ","2.7 ","210.0 ","T ","0.8 "," ","0.00 "," "
"2","1006.8 ","1007.2 ","27.0 ","24.7 ","87 ","1.2 ","230.0 ","3.3 ","170.0 ","T ","0.2 "," ","0.00 ","9.0 "
"3","1006.5 ","1006.9 ","27.0 ","23.9 ","83 ","1.2 ","270.0 ","2.7 ","220.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1006.6 ","1007.0 ","26.9 ","24.3 ","86 ","0.4 ","310.0 ","2.2 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1006.9 ","1007.3 ","26.4 ","24.6 ","90 ","1.1 ","90.0 ","2.2 ","60.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"6","1006.9 ","1007.3 ","25.9 ","24.4 ","91 ","1.0 ","70.0 ","2.9 ","90.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1006.9 ","1007.3 ","26.6 ","24.9 ","90 ","1.1 ","80.0 ","2.5 ","90.0 ","0.0 ","0.0 ","0.5 ","0.24 "," "
"8","1007.3 ","1007.7 ","27.7 ","24.8 ","84 ","0.6 ","270.0 ","1.7 ","260.0 ","0.0 ","0.0 ","1.0 ","0.86 ","6.0 "
"9","1007.7 ","1008.1 ","28.5 ","26.0 ","86 ","1.1 ","190.0 ","3.2 ","200.0 ","0.0 ","0.0 ","1.0 ","1.60 ","6.0 "
"10","1007.7 ","1008.1 ","28.9 ","26.0 ","84 ","1.9 ","190.0 ","3.5 ","180.0 ","0.0 ","0.0 ","1.0 ","2.44 "," "
"11","1007.5 ","1007.8 ","29.3 ","25.3 ","79 ","2.6 ","280.0 ","4.7 ","270.0 ","0.0 ","0.0 ","0.7 ","2.31 ","8.0 "
"12","1007.3 ","1007.6 ","30.5 ","25.5 ","75 ","2.5 ","270.0 ","5.6 ","260.0 ","0.0 ","0.0 ","0.4 ","2.26 "," "
"13","1006.9 ","1007.2 ","30.6 ","25.9 ","76 ","3.0 ","280.0 ","5.3 ","270.0 ","0.0 ","0.0 ","0.9 ","3.13 "," "
"14","1006.4 ","1006.7 ","30.7 ","25.8 ","75 ","3.1 ","270.0 ","6.0 ","250.0 ","0.0 ","0.0 ","0.9 ","2.64 ","10.0 "
"15","1005.9 ","1006.2 ","29.7 ","25.8 ","80 ","3.2 ","290.0 ","5.8 ","300.0 ","0.0 ","0.0 ","0.4 ","1.74 "," "
"16","1005.7 ","1006.0 ","29.3 ","25.6 ","81 ","2.6 ","300.0 ","5.5 ","280.0 ","0.0 ","0.0 ","0.1 ","1.05 "," "
"17","1005.9 ","1006.2 ","29.2 ","25.1 ","79 ","3.4 ","310.0 ","6.4 ","320.0 ","0.0 ","0.0 ","0.3 ","0.64 ","10.0 "
"18","1006.3 ","1006.6 ","28.8 ","24.6 ","78 ","2.8 ","320.0 ","6.0 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1007.1 ","1007.5 ","28.7 ","24.4 ","78 ","1.9 ","310.0 ","4.8 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1007.9 ","1008.3 ","28.1 ","24.7 ","82 ","0.9 ","30.0 ","3.5 ","320.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1008.4 ","1008.8 ","27.6 ","24.5 ","83 ","1.4 ","70.0 ","3.3 ","50.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"22","1008.7 ","1009.1 ","27.5 ","23.3 ","78 ","1.1 ","90.0 ","5.1 ","80.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1008.6 ","1009.0 ","27.8 ","23.2 ","76 ","1.3 ","80.0 ","3.4 ","70.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"24","1008.3 ","1008.7 ","27.7 ","23.4 ","77 ","1.1 ","170.0 ","2.4 ","180.0 ","0.0 ","0.0 "," ","0.00 "," "
