"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1010.9 ","1021.2 ","13.6 ","8.8 ","73 ","1.3 ","20.0 ","3.2 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1010.5 ","1020.8 ","13.6 ","8.8 ","73 ","0.9 ","320.0 ","3.2 ","30.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1010.4 ","1020.7 ","13.3 ","8.7 ","74 ","1.1 ","320.0 ","2.9 ","310.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1010.0 ","1020.4 ","12.0 ","8.4 ","79 ","0.2 ","0.0 ","2.0 ","310.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1010.2 ","1020.6 ","12.6 ","8.8 ","78 ","0.3 ","240.0 ","1.7 ","350.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1010.6 ","1021.0 ","11.9 ","8.6 ","80 ","0.2 ","0.0 ","2.0 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1010.8 ","1021.2 ","12.0 ","8.8 ","81 ","0.2 ","0.0 ","1.3 ","260.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1011.7 ","1022.0 ","13.7 ","9.7 ","77 ","0.3 ","200.0 ","1.5 ","250.0 ","0.0 ","0.0 ","0.4 ","0.26 ","10.0 "
"9","1012.2 ","1022.5 ","15.2 ","10.8 ","75 ","0.5 ","40.0 ","2.0 ","130.0 ","0.0 ","0.0 ","1.0 ","0.92 ","10.0 "
"10","1012.3 ","1022.5 ","17.6 ","11.5 ","67 ","0.3 ","180.0 ","1.9 ","120.0 ","0.0 ","0.0 ","1.0 ","1.63 "," "
"11","1011.8 ","1021.9 ","20.3 ","11.8 ","58 ","0.5 ","180.0 ","2.7 ","250.0 ","0.0 ","0.0 ","1.0 ","2.21 ","6.0 "
"12","1011.1 ","1021.2 ","21.4 ","12.2 ","56 ","1.8 ","180.0 ","3.3 ","260.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"13","1010.2 ","1020.2 ","22.6 ","12.3 ","52 ","2.4 ","260.0 ","5.5 ","260.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"14","1009.5 ","1019.5 ","22.7 ","12.4 ","52 ","1.8 ","200.0 ","5.1 ","240.0 ","0.0 ","0.0 ","1.0 ","2.40 ","6.0 "
"15","1009.2 ","1019.2 ","23.0 ","12.4 ","51 ","1.9 ","260.0 ","4.8 ","230.0 ","0.0 ","0.0 ","1.0 ","1.90 "," "
"16","1009.5 ","1019.5 ","21.4 ","11.3 ","53 ","1.4 ","340.0 ","3.6 ","210.0 ","0.0 ","0.0 ","1.0 ","1.31 "," "
"17","1009.7 ","1019.8 ","20.4 ","11.5 ","57 ","0.7 ","300.0 ","3.7 ","350.0 ","0.0 ","0.0 ","0.9 ","0.51 ","8.0 "
"18","1009.7 ","1019.8 ","19.2 ","11.4 ","61 ","0.6 ","320.0 ","2.5 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1010.1 ","1020.3 ","18.1 ","11.4 ","65 ","0.4 ","300.0 ","2.0 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1010.6 ","1020.8 ","16.8 ","12.2 ","74 ","0.5 ","130.0 ","1.5 ","120.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1010.9 ","1021.1 ","16.1 ","12.4 ","79 ","0.5 ","110.0 ","2.1 ","150.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1011.2 ","1021.4 ","16.6 ","12.6 ","77 ","0.8 ","120.0 ","1.7 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1011.5 ","1021.7 ","16.1 ","12.7 ","80 ","0.3 ","100.0 ","1.9 ","120.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1011.3 ","1021.6 ","15.5 ","12.5 ","82 ","0.3 ","150.0 ","2.0 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
