"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1006.8 ","1009.0 ","26.9 ","21.5 ","72 ","1.4 ","260.0 ","3.6 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1006.2 ","1008.4 ","26.2 ","21.6 ","76 ","1.7 ","260.0 ","4.9 ","210.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1005.7 ","1007.9 ","25.6 ","21.2 ","77 ","1.1 ","280.0 ","3.7 ","260.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1005.5 ","1007.7 ","25.7 ","21.0 ","75 ","1.8 ","270.0 ","3.1 ","270.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1006.1 ","1008.3 ","24.9 ","20.8 ","78 ","1.8 ","240.0 ","2.8 ","250.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1005.8 ","1008.0 ","25.1 ","20.5 ","76 ","1.2 ","270.0 ","3.3 ","270.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1006.0 ","1008.2 ","25.8 ","21.1 ","75 ","1.2 ","240.0 ","2.5 ","270.0 ","0.0 ","0.0 ","1.0 ","0.40 "," "
"8","1006.6 ","1008.8 ","29.1 ","22.4 ","67 ","1.8 ","40.0 ","4.2 ","60.0 ","0.0 ","0.0 ","0.9 ","0.98 ","20.0 "
"9","1007.2 ","1009.4 ","29.8 ","21.6 ","61 ","3.1 ","20.0 ","4.8 ","20.0 ","0.0 ","0.0 ","1.0 ","1.80 ","20.0 "
"10","1006.8 ","1009.0 ","31.3 ","22.6 ","60 ","4.2 ","80.0 ","5.8 ","40.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"11","1006.7 ","1008.9 ","31.8 ","22.8 ","59 ","4.2 ","70.0 ","7.1 ","80.0 ","0.0 ","0.0 ","1.0 ","2.91 ","20.0 "
"12","1006.0 ","1008.2 ","31.5 ","23.0 ","61 ","4.8 ","70.0 ","8.3 ","80.0 ","0.0 ","0.0 ","0.9 ","2.65 "," "
"13","1005.4 ","1007.6 ","29.9 ","22.4 ","64 ","6.5 ","50.0 ","10.5 ","40.0 ","0.0 ","0.0 ","0.7 ","2.21 "," "
"14","1005.0 ","1007.2 ","29.8 ","22.7 ","66 ","6.9 ","40.0 ","11.5 ","20.0 ","0.0 ","0.0 ","0.7 ","1.88 ","15.0 "
"15","1004.8 ","1007.0 ","30.5 ","22.3 ","62 ","6.3 ","30.0 ","11.0 ","30.0 ","0.0 ","0.0 ","1.0 ","1.99 "," "
"16","1004.7 ","1006.9 ","29.4 ","22.4 ","66 ","4.7 ","30.0 ","11.8 ","50.0 ","0.0 ","0.0 ","0.9 ","1.44 "," "
"17","1005.2 ","1007.4 ","28.4 ","22.6 ","71 ","6.8 ","40.0 ","11.4 ","30.0 ","0.0 ","0.0 ","0.3 ","0.35 ","12.0 "
"18","1005.6 ","1007.8 ","28.2 ","22.4 ","71 ","4.4 ","30.0 ","9.9 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1005.7 ","1007.9 ","27.9 ","22.4 ","72 ","4.8 ","20.0 ","10.9 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1006.7 ","1008.9 ","28.1 ","21.4 ","67 ","6.5 ","40.0 ","11.1 ","30.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1007.2 ","1009.4 ","27.6 ","21.7 ","70 ","5.2 ","20.0 ","12.1 ","30.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1007.0 ","1009.2 ","27.7 ","21.2 ","68 ","4.5 ","20.0 ","10.6 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1006.5 ","1008.7 ","27.4 ","20.6 ","66 ","3.6 ","360.0 ","10.7 ","20.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1006.3 ","1008.5 ","27.1 ","20.6 ","68 ","1.4 ","290.0 ","5.4 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
