"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1016.6 ","1017.0 ","24.7 ","18.5 ","68 ","0.3 ","50.0 ","2.3 ","60.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1016.2 ","1016.6 ","24.5 ","18.5 ","69 ","1.6 ","320.0 ","2.8 ","300.0 ","0.0 ","0.0 "," ","0.00 ","2.0 "
"3","1015.5 ","1015.9 ","24.4 ","18.3 ","69 ","0.8 ","290.0 ","2.5 ","320.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1015.4 ","1015.8 ","24.1 ","18.5 ","71 ","1.3 ","320.0 ","3.9 ","320.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1015.2 ","1015.6 ","24.2 ","18.6 ","71 ","0.0 ","0.0 ","2.4 ","320.0 ","0.0 ","0.0 "," ","0.00 ","2.0 "
"6","1015.5 ","1015.9 ","23.4 ","18.4 ","74 ","1.9 ","300.0 ","3.0 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1016.2 ","1016.6 ","23.4 ","18.2 ","73 ","1.9 ","310.0 ","3.1 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1016.4 ","1016.8 ","24.2 ","18.5 ","71 ","1.1 ","320.0 ","3.1 ","320.0 ","0.0 ","0.0 ","0.0 ","0.51 ","2.0 "
"9","1016.6 ","1017.0 ","25.0 ","18.7 ","68 ","2.1 ","310.0 ","3.9 ","290.0 ","0.0 ","0.0 ","0.0 ","0.88 ","3.0 "
"10","1016.8 ","1017.2 ","26.6 ","19.5 ","65 ","2.3 ","300.0 ","4.2 ","300.0 ","0.0 ","0.0 ","0.2 ","1.24 "," "
"11","1016.7 ","1017.1 ","26.4 ","19.8 ","67 ","2.9 ","280.0 ","4.9 ","270.0 ","0.0 ","0.0 ","1.0 ","2.15 ","3.0 "
"12","1016.8 ","1017.2 ","26.2 ","19.8 ","68 ","4.0 ","310.0 ","7.1 ","310.0 ","0.0 ","0.0 ","0.7 ","2.26 "," "
"13","1016.5 ","1016.9 ","25.4 ","19.6 ","70 ","4.7 ","320.0 ","10.0 ","340.0 ","0.0 ","0.0 ","0.0 ","1.76 "," "
"14","1016.2 ","1016.6 ","25.2 ","19.0 ","69 ","5.6 ","330.0 ","12.2 ","320.0 ","0.0 ","0.0 ","0.0 ","0.87 ","5.0 "
"15","1015.9 ","1016.3 ","24.8 ","18.1 ","66 ","5.1 ","350.0 ","11.6 ","330.0 ","0.0 ","0.0 ","0.0 ","0.47 "," "
"16","1016.2 ","1016.6 ","23.9 ","17.6 ","68 ","4.4 ","10.0 ","9.8 ","40.0 ","0.0 ","0.0 ","0.0 ","0.69 "," "
"17","1016.6 ","1017.0 ","23.0 ","17.1 ","69 ","3.7 ","350.0 ","9.6 ","20.0 ","0.0 ","0.0 ","0.0 ","0.11 ","4.0 "
"18","1017.3 ","1017.7 ","21.8 ","15.8 ","69 ","3.7 ","350.0 ","7.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1017.8 ","1018.2 ","21.4 ","15.4 ","69 ","3.4 ","350.0 ","7.0 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1018.6 ","1019.0 ","22.1 ","15.5 ","66 ","2.5 ","10.0 ","6.2 ","340.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"21","1019.3 ","1019.7 ","21.7 ","15.2 ","67 ","3.0 ","10.0 ","8.8 ","330.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"22","1019.4 ","1019.8 ","21.5 ","15.4 ","68 ","4.2 ","20.0 ","8.6 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1019.0 ","1019.4 ","22.2 ","16.1 ","68 ","2.8 ","30.0 ","8.5 ","40.0 ","0.0 ","0.0 "," ","0.00 ","8.0 "
"24","1018.9 ","1019.3 ","21.9 ","16.0 ","69 ","1.0 ","90.0 ","4.4 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
