"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1016.8 ","1017.2 ","19.9 ","8.6 ","48 ","1.2 ","60.0 ","3.3 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1016.5 ","1016.9 ","19.6 ","8.6 ","49 ","2.2 ","40.0 ","3.9 ","50.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1016.4 ","1016.8 ","18.8 ","8.3 ","50 ","1.2 ","40.0 ","3.6 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1016.6 ","1017.0 ","18.5 ","8.9 ","54 ","0.4 ","60.0 ","2.3 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1016.8 ","1017.2 ","18.4 ","9.5 ","56 ","0.6 ","70.0 ","1.9 ","40.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1017.5 ","1017.9 ","18.4 ","8.9 ","54 ","1.1 ","60.0 ","2.3 ","80.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1018.0 ","1018.4 ","18.2 ","9.2 ","56 ","1.8 ","50.0 ","2.9 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1018.7 ","1019.1 ","18.7 ","9.4 ","55 ","0.6 ","60.0 ","3.2 ","50.0 ","0.0 ","0.0 ","0.0 ","0.19 ","10.0 "
"9","1019.2 ","1019.6 ","20.2 ","9.8 ","51 ","1.7 ","40.0 ","3.5 ","40.0 ","0.0 ","0.0 ","0.0 ","0.60 ","10.0 "
"10","1019.3 ","1019.7 ","22.0 ","9.9 ","46 ","1.5 ","20.0 ","3.5 ","30.0 ","0.0 ","0.0 ","0.0 ","0.89 "," "
"11","1018.9 ","1019.3 ","23.5 ","11.8 ","48 ","1.6 ","190.0 ","2.9 ","60.0 ","0.0 ","0.0 ","0.0 ","1.33 ","10.0 "
"12","1018.2 ","1018.6 ","23.1 ","12.1 ","50 ","2.0 ","180.0 ","3.9 ","200.0 ","0.0 ","0.0 ","0.0 ","1.58 "," "
"13","1017.1 ","1017.5 ","23.3 ","11.7 ","48 ","1.8 ","230.0 ","4.1 ","230.0 ","0.0 ","0.0 ","0.2 ","1.59 "," "
"14","1016.4 ","1016.8 ","23.3 ","12.8 ","52 ","2.0 ","280.0 ","4.0 ","260.0 ","0.0 ","0.0 ","0.1 ","1.28 ","10.0 "
"15","1015.7 ","1016.1 ","24.8 ","12.3 ","46 ","1.6 ","300.0 ","4.0 ","280.0 ","0.0 ","0.0 ","0.9 ","1.69 "," "
"16","1015.7 ","1016.1 ","24.7 ","13.9 ","51 ","1.6 ","310.0 ","4.3 ","300.0 ","0.0 ","0.0 ","1.0 ","1.35 "," "
"17","1016.0 ","1016.4 ","23.2 ","14.8 ","59 ","2.9 ","300.0 ","4.8 ","310.0 ","0.0 ","0.0 ","0.7 ","0.43 ","3.0 "
"18","1016.8 ","1017.2 ","22.1 ","14.4 ","62 ","2.2 ","320.0 ","4.6 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1017.4 ","1017.8 ","21.1 ","13.4 ","61 ","1.6 ","340.0 ","4.8 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1018.2 ","1018.6 ","19.2 ","12.7 ","66 ","3.6 ","340.0 ","6.1 ","340.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"21","1018.6 ","1019.0 ","18.0 ","12.2 ","69 ","2.3 ","360.0 ","5.8 ","340.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"22","1018.6 ","1019.0 ","17.4 ","12.0 ","71 ","2.2 ","350.0 ","5.9 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1018.7 ","1019.1 ","16.9 ","11.6 ","71 ","2.1 ","10.0 ","4.1 ","330.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"24","1018.6 ","1019.0 ","16.6 ","11.3 ","71 ","2.0 ","10.0 ","5.0 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
