"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1008.6 ","1012.1 ","23.5 ","20.4 ","83 ","0.4 ","50.0 ","2.1 ","130.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1008.4 ","1011.9 ","23.2 ","20.4 ","84 ","0.3 ","210.0 ","1.7 ","40.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"3","1008.1 ","1011.6 ","23.2 ","20.7 ","86 ","0.7 ","210.0 ","1.7 ","210.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1008.0 ","1011.5 ","23.2 ","20.6 ","85 ","0.8 ","130.0 ","2.2 ","140.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1008.0 ","1011.5 ","23.0 ","20.5 ","86 ","0.5 ","160.0 ","2.0 ","180.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"6","1008.6 ","1012.1 ","22.9 ","20.5 ","86 ","0.3 ","140.0 ","1.7 ","170.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1009.0 ","1012.5 ","23.0 ","20.4 ","85 ","0.3 ","180.0 ","1.6 ","170.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1009.1 ","1012.6 ","24.1 ","21.0 ","83 ","1.1 ","180.0 ","2.1 ","130.0 ","0.0 ","0.0 ","0.1 ","0.40 ","7.0 "
"9","1009.4 ","1012.9 ","25.4 ","22.0 ","81 ","0.6 ","30.0 ","2.3 ","190.0 ","0.0 ","0.0 ","1.0 ","1.24 ","5.0 "
"10","1008.9 ","1012.4 ","27.2 ","22.1 ","74 ","0.3 ","320.0 ","2.8 ","40.0 ","0.0 ","0.0 ","1.0 ","1.84 "," "
"11","1008.2 ","1011.7 ","29.5 ","22.1 ","65 ","1.0 ","90.0 ","3.4 ","30.0 ","0.0 ","0.0 ","1.0 ","2.40 ","6.0 "
"12","1007.5 ","1010.9 ","30.5 ","20.2 ","54 ","0.8 ","290.0 ","4.0 ","280.0 ","0.0 ","0.0 ","1.0 ","2.91 "," "
"13","1006.7 ","1010.2 ","29.5 ","21.5 ","62 ","1.9 ","320.0 ","6.8 ","330.0 ","0.0 ","0.0 ","1.0 ","2.51 "," "
"14","1006.0 ","1009.5 ","28.9 ","21.5 ","64 ","1.6 ","350.0 ","6.8 ","320.0 ","0.0 ","0.0 ","1.0 ","2.40 ","12.0 "
"15","1005.6 ","1009.1 ","28.1 ","21.6 ","68 ","2.0 ","10.0 ","4.8 ","20.0 ","0.0 ","0.0 ","0.7 ","1.63 "," "
"16","1005.6 ","1009.1 ","28.4 ","21.5 ","66 ","1.4 ","350.0 ","6.1 ","10.0 ","0.0 ","0.0 ","0.5 ","1.19 "," "
"17","1005.8 ","1009.3 ","26.9 ","20.9 ","70 ","0.5 ","330.0 ","4.2 ","360.0 ","0.0 ","0.0 ","0.0 ","0.25 ","13.0 "
"18","1006.4 ","1009.9 ","26.5 ","20.6 ","70 ","1.3 ","290.0 ","5.2 ","280.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1007.0 ","1010.5 ","25.8 ","20.1 ","71 ","1.1 ","280.0 ","6.7 ","250.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1007.6 ","1011.1 ","25.4 ","19.9 ","72 ","1.3 ","280.0 ","5.1 ","270.0 ","0.0 ","0.0 "," ","0.00 ","11.0 "
"21","1008.2 ","1011.7 ","25.3 ","20.0 ","72 ","2.0 ","260.0 ","5.5 ","280.0 ","0.0 ","0.0 "," ","0.00 ","13.0 "
"22","1008.6 ","1012.1 ","25.0 ","20.1 ","74 ","1.0 ","260.0 ","4.8 ","280.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1008.9 ","1012.4 ","24.9 ","20.2 ","75 ","0.9 ","260.0 ","3.7 ","290.0 ","0.0 ","0.0 "," ","0.00 ","11.0 "
"24","1008.7 ","1012.2 ","24.5 ","20.0 ","76 ","0.9 ","260.0 ","3.0 ","280.0 ","0.0 ","0.0 "," ","0.00 "," "
