"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1003.3 ","1005.5 ","25.0 ","19.3 ","71 ","1.6 ","290.0 ","2.9 ","290.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1003.0 ","1005.2 ","24.1 ","20.1 ","78 ","1.0 ","280.0 ","2.5 ","290.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1003.1 ","1005.3 ","24.1 ","19.5 ","76 ","1.7 ","250.0 ","3.9 ","260.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1003.2 ","1005.4 ","24.1 ","20.0 ","78 ","2.3 ","250.0 ","4.8 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1003.3 ","1005.5 ","24.3 ","19.5 ","75 ","2.0 ","250.0 ","3.3 ","260.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1003.4 ","1005.6 ","24.1 ","20.1 ","78 ","1.8 ","250.0 ","3.7 ","250.0 ","0.0 ","0.0 ","0.0 ","0.02 "," "
"7","1004.2 ","1006.4 ","25.7 ","20.3 ","72 ","1.2 ","330.0 ","2.9 ","240.0 ","0.0 ","0.0 ","0.0 ","0.63 "," "
"8","1004.7 ","1006.9 ","26.2 ","22.5 ","80 ","4.7 ","30.0 ","7.6 ","30.0 ","0.0 ","0.0 ","0.0 ","1.18 ","12.0 "
"9","1005.0 ","1007.2 ","26.9 ","21.3 ","71 ","4.3 ","20.0 ","8.6 ","40.0 ","0.0 ","0.0 ","0.0 ","1.86 ","12.0 "
"10","1004.9 ","1007.1 ","27.6 ","20.7 ","66 ","2.4 ","360.0 ","6.3 ","20.0 ","0.0 ","0.0 ","0.0 ","1.45 "," "
"11","1005.5 ","1007.7 ","27.9 ","21.4 ","68 ","4.0 ","30.0 ","7.8 ","30.0 ","0.0 ","0.0 ","0.0 ","1.90 ","12.0 "
"12","1005.5 ","1007.7 ","28.0 ","21.4 ","67 ","2.9 ","10.0 ","7.4 ","30.0 ","0.0 ","0.0 ","0.0 ","2.03 "," "
"13","1004.8 ","1007.0 ","28.3 ","18.5 ","55 ","3.8 ","350.0 ","6.1 ","360.0 ","0.0 ","0.0 ","0.0 ","2.71 "," "
"14","1004.6 ","1006.8 ","28.8 ","20.5 ","61 ","2.4 ","40.0 ","5.1 ","40.0 ","0.0 ","0.0 ","0.0 ","2.95 ","10.0 "
"15","1004.5 ","1006.7 ","27.4 ","21.9 ","72 ","1.9 ","50.0 ","4.8 ","20.0 ","0.0 ","0.0 ","0.0 ","1.70 "," "
"16","1004.2 ","1006.4 ","27.1 ","19.4 ","63 ","1.1 ","10.0 ","3.5 ","10.0 ","0.5 ","0.7 ","0.0 ","1.17 "," "
"17","1004.4 ","1006.6 ","25.3 ","21.1 ","78 ","2.5 ","240.0 ","4.1 ","240.0 ","0.0 ","0.0 ","0.0 ","0.45 ","10.0 "
"18","1004.9 ","1007.1 ","24.9 ","20.6 ","77 ","2.3 ","230.0 ","3.8 ","210.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1005.6 ","1007.8 ","24.8 ","20.5 ","77 ","2.0 ","240.0 ","4.2 ","220.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1005.9 ","1008.1 ","24.5 ","20.8 ","80 ","1.5 ","240.0 ","3.8 ","240.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1005.9 ","1008.1 ","24.3 ","20.7 ","80 ","2.0 ","240.0 ","3.3 ","230.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1006.1 ","1008.3 ","24.2 ","20.6 ","80 ","1.9 ","250.0 ","3.6 ","240.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1005.7 ","1007.9 ","24.0 ","20.6 ","81 ","2.2 ","260.0 ","3.6 ","240.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1005.6 ","1007.8 ","23.6 ","20.7 ","84 ","2.9 ","250.0 ","4.6 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
