"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1016.3 ","1016.7 ","26.5 ","21.2 ","73 ","1.9 ","20.0 ","3.7 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1015.6 ","1016.0 ","25.6 ","20.6 ","74 ","1.7 ","360.0 ","3.9 ","20.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"3","1015.1 ","1015.5 ","25.3 ","20.6 ","75 ","1.3 ","360.0 ","3.8 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1015.2 ","1015.6 ","25.2 ","20.5 ","75 ","1.5 ","340.0 ","2.3 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1015.2 ","1015.6 ","24.9 ","20.5 ","77 ","1.6 ","340.0 ","2.4 ","340.0 ","0.0 ","0.0 "," ","0.00 ","6.0 "
"6","1016.0 ","1016.4 ","24.8 ","20.3 ","76 ","1.8 ","350.0 ","2.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1016.5 ","1016.9 ","25.1 ","20.2 ","74 ","1.3 ","360.0 ","2.9 ","340.0 ","0.0 ","0.0 ","0.0 ","0.06 "," "
"8","1017.2 ","1017.6 ","26.3 ","21.0 ","73 ","1.1 ","340.0 ","2.7 ","20.0 ","0.0 ","0.0 ","0.6 ","0.61 ","4.0 "
"9","1017.5 ","1017.9 ","27.6 ","21.7 ","70 ","2.2 ","320.0 ","4.9 ","310.0 ","0.0 ","0.0 ","1.0 ","1.17 ","4.0 "
"10","1017.5 ","1017.9 ","28.9 ","22.5 ","68 ","2.2 ","300.0 ","4.9 ","310.0 ","0.0 ","0.0 ","0.9 ","1.75 "," "
"11","1016.8 ","1017.2 ","29.6 ","21.6 ","62 ","4.3 ","310.0 ","6.5 ","300.0 ","0.0 ","0.0 ","1.0 ","2.17 ","6.0 "
"12","1016.4 ","1016.8 ","30.2 ","23.0 ","65 ","3.7 ","310.0 ","6.8 ","320.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"13","1015.5 ","1015.9 ","29.5 ","21.4 ","62 ","4.1 ","310.0 ","7.3 ","330.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"14","1015.1 ","1015.5 ","29.3 ","21.4 ","63 ","4.1 ","310.0 ","8.1 ","310.0 ","0.0 ","0.0 ","1.0 ","2.24 ","8.0 "
"15","1014.8 ","1015.2 ","29.0 ","22.3 ","67 ","4.1 ","310.0 ","7.8 ","320.0 ","0.0 ","0.0 ","1.0 ","1.64 "," "
"16","1015.1 ","1015.5 ","28.0 ","22.6 ","73 ","2.9 ","310.0 ","7.0 ","300.0 ","0.0 ","0.0 ","0.7 ","0.98 "," "
"17","1015.4 ","1015.8 ","26.9 ","22.0 ","75 ","2.5 ","300.0 ","5.2 ","310.0 ","0.0 ","0.0 ","0.0 ","0.16 ","6.0 "
"18","1015.5 ","1015.9 ","26.6 ","21.6 ","74 ","2.2 ","310.0 ","4.8 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1016.2 ","1016.6 ","26.4 ","21.8 ","76 ","2.1 ","310.0 ","4.6 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1016.7 ","1017.1 ","26.2 ","21.4 ","75 ","2.0 ","320.0 ","4.7 ","320.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"21","1016.8 ","1017.2 ","26.2 ","21.1 ","74 ","1.6 ","320.0 ","3.7 ","330.0 ","0.0 ","0.0 "," ","0.00 ","2.0 "
"22","1017.0 ","1017.4 ","25.9 ","21.1 ","75 ","1.5 ","320.0 ","3.8 ","300.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1016.6 ","1017.0 ","25.7 ","21.0 ","75 ","1.5 ","350.0 ","2.8 ","340.0 ","0.0 ","0.0 "," ","0.00 ","2.0 "
"24","1016.5 ","1016.9 ","25.6 ","20.9 ","75 ","1.1 ","350.0 ","2.3 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
