"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1017.5 ","1017.9 ","15.0 ","12.0 ","82 ","2.7 ","360.0 ","6.1 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1017.5 ","1017.9 ","14.7 ","11.6 ","82 ","2.9 ","350.0 ","6.7 ","340.0 ","0.5 ","0.2 "," ","0.00 ","4.0 "
"3","1017.1 ","1017.5 ","14.4 ","11.9 ","85 ","2.8 ","10.0 ","7.5 ","30.0 ","1.0 ","0.7 "," ","0.00 "," "
"4","1017.7 ","1018.1 ","14.3 ","11.9 ","85 ","3.0 ","350.0 ","6.9 ","330.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1017.4 ","1017.8 ","14.3 ","11.7 ","84 ","1.8 ","360.0 ","6.2 ","350.0 ","0.0 ","0.0 "," ","0.00 ","4.0 "
"6","1018.0 ","1018.4 ","13.9 ","11.4 ","85 ","3.5 ","350.0 ","6.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1018.7 ","1019.1 ","14.0 ","11.5 ","85 ","2.9 ","350.0 ","6.3 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1019.3 ","1019.7 ","14.3 ","11.3 ","82 ","3.3 ","350.0 ","7.0 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 ","4.0 "
"9","1019.3 ","1019.7 ","15.1 ","11.7 ","80 ","2.5 ","10.0 ","6.5 ","330.0 ","0.0 ","0.0 ","0.1 ","0.39 ","4.0 "
"10","1019.3 ","1019.7 ","16.0 ","11.5 ","75 ","2.7 ","10.0 ","7.7 ","10.0 ","0.0 ","0.0 ","0.4 ","1.14 "," "
"11","1019.0 ","1019.4 ","15.8 ","11.5 ","76 ","3.7 ","340.0 ","7.7 ","330.0 ","0.0 ","0.0 ","0.0 ","0.60 ","6.0 "
"12","1018.2 ","1018.6 ","16.2 ","11.3 ","73 ","3.4 ","10.0 ","7.6 ","340.0 ","0.0 ","0.0 ","0.0 ","0.81 "," "
"13","1017.2 ","1017.6 ","18.3 ","12.8 ","70 ","2.6 ","10.0 ","6.6 ","30.0 ","0.0 ","0.0 ","0.1 ","1.50 "," "
"14","1016.3 ","1016.7 ","17.3 ","11.7 ","70 ","2.4 ","340.0 ","5.4 ","20.0 ","0.0 ","0.0 ","0.1 ","1.00 ","6.0 "
"15","1016.0 ","1016.4 ","17.9 ","12.2 ","69 ","3.1 ","350.0 ","5.5 ","340.0 ","0.0 ","0.0 ","0.0 ","1.07 "," "
"16","1016.2 ","1016.6 ","18.2 ","11.8 ","66 ","2.9 ","360.0 ","6.0 ","30.0 ","0.0 ","0.0 ","0.3 ","1.10 "," "
"17","1016.4 ","1016.8 ","17.5 ","11.6 ","68 ","2.4 ","360.0 ","6.0 ","330.0 ","0.0 ","0.0 ","0.1 ","0.52 ","5.0 "
"18","1016.6 ","1017.0 ","16.6 ","11.0 ","69 ","3.2 ","350.0 ","7.0 ","340.0 ","0.0 ","0.0 ","0.1 ","0.06 "," "
"19","1017.5 ","1017.9 ","16.5 ","11.1 ","70 ","2.9 ","360.0 ","6.6 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1018.1 ","1018.5 ","15.8 ","10.7 ","72 ","2.9 ","360.0 ","7.3 ","330.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"21","1018.1 ","1018.5 ","15.4 ","10.2 ","71 ","2.5 ","10.0 ","6.8 ","340.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"22","1018.2 ","1018.6 ","15.3 ","10.6 ","74 ","1.9 ","350.0 ","4.7 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1018.1 ","1018.5 ","14.7 ","10.2 ","74 ","2.0 ","350.0 ","4.4 ","340.0 ","0.0 ","0.0 "," ","0.00 ","3.0 "
"24","1018.1 ","1018.5 ","14.5 ","10.3 ","76 ","1.6 ","10.0 ","4.6 ","340.0 ","0.0 ","0.0 "," ","0.00 "," "
