"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1011.4 ","1021.7 ","14.1 ","8.4 ","69 ","0.1 ","0.0 ","1.5 ","300.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1011.3 ","1021.6 ","13.8 ","9.3 ","74 ","0.3 ","70.0 ","1.3 ","130.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1010.8 ","1021.1 ","13.5 ","9.1 ","75 ","0.4 ","120.0 ","1.7 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1011.4 ","1021.7 ","13.4 ","9.2 ","76 ","0.3 ","90.0 ","1.7 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1011.8 ","1022.2 ","13.0 ","9.9 ","81 ","0.1 ","0.0 ","1.3 ","80.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1012.0 ","1022.4 ","13.3 ","10.3 ","82 ","0.0 ","0.0 ","1.1 ","50.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1012.5 ","1022.8 ","13.9 ","10.4 ","79 ","0.0 ","0.0 ","1.2 ","260.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1013.2 ","1023.5 ","16.2 ","11.4 ","73 ","0.0 ","0.0 ","1.3 ","30.0 ","0.0 ","0.0 ","0.4 ","0.50 ","10.0 "
"9","1013.0 ","1023.2 ","19.1 ","11.7 ","62 ","0.3 ","290.0 ","1.6 ","340.0 ","0.0 ","0.0 ","1.0 ","1.37 ","10.0 "
"10","1013.0 ","1023.1 ","21.5 ","12.6 ","57 ","0.6 ","280.0 ","2.2 ","300.0 ","0.0 ","0.0 ","0.9 ","2.04 "," "
"11","1012.8 ","1022.8 ","23.4 ","13.7 ","54 ","1.6 ","230.0 ","4.4 ","230.0 ","0.0 ","0.0 ","1.0 ","2.94 ","10.0 "
"12","1012.1 ","1022.1 ","24.1 ","13.7 ","52 ","0.7 ","120.0 ","5.4 ","230.0 ","0.0 ","0.0 ","1.0 ","3.06 "," "
"13","1011.4 ","1021.4 ","23.9 ","13.0 ","50 ","1.6 ","250.0 ","5.3 ","260.0 ","0.0 ","0.0 ","0.8 ","2.66 "," "
"14","1010.3 ","1020.2 ","24.4 ","12.4 ","47 ","1.8 ","260.0 ","4.9 ","260.0 ","0.0 ","0.0 ","0.9 ","2.65 ","10.0 "
"15","1010.0 ","1019.9 ","24.5 ","12.6 ","47 ","2.8 ","250.0 ","5.9 ","230.0 ","0.0 ","0.0 ","1.0 ","2.50 "," "
"16","1010.0 ","1020.0 ","23.4 ","11.7 ","48 ","1.6 ","270.0 ","5.5 ","260.0 ","0.0 ","0.0 ","1.0 ","1.66 "," "
"17","1010.2 ","1020.2 ","22.2 ","11.9 ","52 ","1.7 ","330.0 ","3.9 ","200.0 ","0.0 ","0.0 ","0.8 ","0.93 ","10.0 "
"18","1010.6 ","1020.7 ","21.4 ","11.6 ","54 ","1.3 ","310.0 ","4.3 ","350.0 ","0.0 ","0.0 ","0.0 ","0.05 "," "
"19","1011.0 ","1021.1 ","20.8 ","11.5 ","55 ","1.4 ","320.0 ","2.9 ","340.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1011.7 ","1021.8 ","19.9 ","11.1 ","57 ","0.9 ","10.0 ","2.4 ","320.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1012.0 ","1022.2 ","18.5 ","12.0 ","66 ","0.7 ","80.0 ","2.4 ","130.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1012.0 ","1022.2 ","17.4 ","12.2 ","72 ","0.2 ","0.0 ","1.6 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1011.9 ","1022.1 ","17.3 ","12.3 ","72 ","0.3 ","40.0 ","1.6 ","80.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1011.5 ","1021.7 ","17.0 ","12.2 ","73 ","0.0 ","0.0 ","1.6 ","70.0 ","0.0 ","0.0 "," ","0.00 "," "
