"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1026.4 ","1028.7 ","14.2 ","5.3 ","55 ","1.6 ","300.0 ","3.2 ","300.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1025.9 ","1028.2 ","15.4 ","5.4 ","51 ","2.4 ","20.0 ","6.4 ","40.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1025.4 ","1027.7 ","15.8 ","4.2 ","46 ","4.6 ","360.0 ","9.8 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1025.3 ","1027.6 ","14.9 ","4.9 ","51 ","1.3 ","320.0 ","4.9 ","360.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1025.7 ","1028.0 ","15.5 ","6.6 ","55 ","2.0 ","20.0 ","5.0 ","20.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1026.4 ","1028.7 ","14.9 ","5.8 ","54 ","1.9 ","310.0 ","4.6 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1027.0 ","1029.3 ","15.7 ","7.7 ","59 ","2.1 ","10.0 ","5.1 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1027.6 ","1029.9 ","15.6 ","7.0 ","57 ","1.2 ","330.0 ","4.3 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"9","1027.8 ","1030.1 ","16.8 ","7.0 ","52 ","3.0 ","330.0 ","6.6 ","10.0 ","0.0 ","0.0 ","0.1 ","0.48 ","12.0 "
"10","1027.4 ","1029.7 ","16.5 ","6.7 ","52 ","1.3 ","280.0 ","5.1 ","350.0 ","0.0 ","0.0 ","0.0 ","1.05 "," "
"11","1026.3 ","1028.6 ","18.8 ","6.1 ","43 ","3.1 ","40.0 ","5.3 ","30.0 ","0.0 ","0.0 ","0.7 ","1.82 ","15.0 "
"12","1025.0 ","1027.3 ","19.5 ","7.7 ","46 ","3.1 ","100.0 ","6.6 ","80.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"13","1023.8 ","1026.1 ","19.3 ","8.0 ","48 ","3.0 ","110.0 ","6.1 ","90.0 ","0.0 ","0.0 ","1.0 ","2.40 "," "
"14","1023.3 ","1025.6 ","20.1 ","8.1 ","46 ","2.5 ","120.0 ","4.6 ","110.0 ","0.0 ","0.0 ","1.0 ","2.39 ","12.0 "
"15","1023.2 ","1025.5 ","19.9 ","9.1 ","50 ","2.5 ","130.0 ","5.1 ","90.0 ","0.0 ","0.0 ","1.0 ","2.05 "," "
"16","1023.1 ","1025.4 ","18.7 ","8.1 ","50 ","1.4 ","160.0 ","3.1 ","120.0 ","0.0 ","0.0 ","0.4 ","0.98 "," "
"17","1023.3 ","1025.6 ","18.2 ","7.8 ","51 ","0.8 ","360.0 ","1.9 ","150.0 ","0.0 ","0.0 ","0.1 ","0.19 ","12.0 "
"18","1023.3 ","1025.6 ","17.3 ","8.3 ","55 ","1.6 ","320.0 ","2.2 ","310.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1023.7 ","1026.0 ","16.7 ","8.5 ","58 ","1.8 ","290.0 ","4.4 ","300.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1023.7 ","1026.0 ","15.5 ","9.0 ","65 ","3.4 ","250.0 ","5.0 ","250.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1024.0 ","1026.3 ","15.3 ","8.4 ","63 ","4.1 ","240.0 ","5.6 ","240.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1023.7 ","1026.0 ","15.3 ","7.8 ","61 ","4.1 ","240.0 ","5.8 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1023.3 ","1025.6 ","14.4 ","7.6 ","64 ","3.6 ","230.0 ","5.7 ","240.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1022.9 ","1025.2 ","14.9 ","6.7 ","58 ","4.3 ","240.0 ","6.6 ","230.0 ","0.0 ","0.0 "," ","0.00 "," "
