"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1010.6 ","1012.8 ","27.0 ","23.0 ","79 ","4.6 ","20.0 ","8.8 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1010.2 ","1012.4 ","26.7 ","22.9 ","80 ","1.9 ","10.0 ","7.4 ","20.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1009.8 ","1012.0 ","26.4 ","22.8 ","81 ","2.1 ","320.0 ","8.2 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1009.7 ","1011.9 ","25.9 ","22.5 ","82 ","1.7 ","240.0 ","3.4 ","360.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1010.2 ","1012.4 ","25.6 ","22.8 ","85 ","0.4 ","310.0 ","3.4 ","240.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1010.0 ","1012.2 ","25.3 ","22.1 ","82 ","1.3 ","280.0 ","2.6 ","300.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1010.7 ","1012.9 ","25.2 ","21.7 ","81 ","1.8 ","220.0 ","4.0 ","230.0 ","0.0 ","0.0 ","0.8 ","0.25 "," "
"8","1011.0 ","1013.2 ","27.6 ","22.9 ","76 ","0.1 ","0.0 ","2.8 ","240.0 ","0.0 ","0.0 ","1.0 ","0.89 ","15.0 "
"9","1010.9 ","1013.1 ","29.5 ","23.2 ","69 ","3.4 ","80.0 ","5.3 ","70.0 ","0.0 ","0.0 ","0.9 ","1.69 ","15.0 "
"10","1010.8 ","1013.0 ","29.4 ","23.7 ","71 ","5.8 ","60.0 ","9.0 ","70.0 ","0.0 ","0.0 ","0.9 ","2.15 "," "
"11","1010.4 ","1012.6 ","28.7 ","23.6 ","74 ","7.5 ","50.0 ","12.0 ","40.0 ","0.0 ","0.0 ","1.0 ","2.58 ","12.0 "
"12","1009.8 ","1012.0 ","29.3 ","24.3 ","75 ","6.9 ","50.0 ","11.7 ","40.0 ","0.0 ","0.0 ","0.9 ","2.65 "," "
"13","1008.8 ","1011.0 ","29.2 ","24.1 ","74 ","8.2 ","40.0 ","12.7 ","50.0 ","0.0 ","0.0 ","1.0 ","2.71 "," "
"14","1008.7 ","1010.9 ","28.7 ","23.9 ","75 ","6.7 ","50.0 ","11.8 ","40.0 ","0.0 ","0.0 ","0.8 ","2.09 ","15.0 "
"15","1008.7 ","1010.9 ","27.9 ","23.7 ","78 ","6.6 ","40.0 ","10.8 ","50.0 ","0.0 ","0.0 ","0.0 ","0.74 "," "
"16","1008.8 ","1011.0 ","27.6 ","23.7 ","79 ","5.9 ","40.0 ","10.7 ","20.0 ","0.0 ","0.0 ","0.0 ","0.42 "," "
"17","1009.2 ","1011.4 ","27.4 ","23.7 ","80 ","4.3 ","30.0 ","10.1 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"18","1009.5 ","1011.7 ","27.1 ","23.5 ","81 ","4.7 ","40.0 ","9.7 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1010.1 ","1012.3 ","27.2 ","23.5 ","80 ","4.0 ","30.0 ","9.4 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1010.4 ","1012.6 ","27.2 ","23.2 ","79 ","4.3 ","20.0 ","9.5 ","30.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1010.7 ","1012.9 ","27.1 ","23.1 ","79 ","4.1 ","30.0 ","8.9 ","20.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1010.6 ","1012.8 ","27.0 ","23.1 ","79 ","3.2 ","20.0 ","7.6 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1010.4 ","1012.6 ","26.8 ","22.5 ","77 ","0.1 ","0.0 ","4.3 ","10.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1009.8 ","1012.0 ","26.1 ","22.8 ","82 ","0.7 ","260.0 ","1.9 ","210.0 ","0.0 ","0.0 "," ","0.00 "," "
