"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1006.4 ","1016.6 ","14.8 ","9.5 ","71 ","1.8 ","20.0 ","9.1 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1006.8 ","1017.1 ","14.6 ","8.5 ","67 ","3.7 ","10.0 ","8.5 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1006.4 ","1016.7 ","14.5 ","8.7 ","68 ","2.3 ","10.0 ","8.4 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1006.3 ","1016.6 ","14.1 ","8.7 ","70 ","2.1 ","360.0 ","6.6 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1006.8 ","1017.1 ","14.1 ","8.3 ","68 ","3.1 ","10.0 ","6.6 ","360.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1007.3 ","1017.6 ","14.3 ","7.8 ","65 ","1.8 ","10.0 ","6.8 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1007.8 ","1018.1 ","14.0 ","8.7 ","70 ","1.6 ","10.0 ","5.1 ","350.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1008.8 ","1019.1 ","13.7 ","8.3 ","70 ","3.9 ","20.0 ","7.6 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"9","1009.2 ","1019.5 ","13.7 ","8.2 ","69 ","3.8 ","360.0 ","7.6 ","360.0 ","0.0 ","0.0 ","0.0 ","0.00 ","12.0 "
"10","1009.6 ","1019.9 ","13.8 ","7.7 ","67 ","2.7 ","10.0 ","6.5 ","30.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"11","1009.1 ","1019.3 ","15.6 ","8.8 ","64 ","1.3 ","30.0 ","6.8 ","350.0 ","0.0 ","0.0 ","0.0 ","0.65 ","12.0 "
"12","1008.4 ","1018.6 ","16.3 ","8.8 ","61 ","1.1 ","10.0 ","5.8 ","350.0 ","0.0 ","0.0 ","0.0 ","0.94 "," "
"13","1008.0 ","1018.1 ","17.9 ","9.1 ","56 ","1.6 ","40.0 ","5.8 ","30.0 ","0.0 ","0.0 ","0.0 ","1.04 "," "
"14","1007.6 ","1017.7 ","17.9 ","8.5 ","54 ","2.6 ","10.0 ","6.8 ","10.0 ","0.0 ","0.0 ","0.0 ","1.24 ","12.0 "
"15","1007.4 ","1017.5 ","18.3 ","8.2 ","52 ","1.6 ","340.0 ","5.0 ","10.0 ","0.0 ","0.0 ","0.0 ","1.32 "," "
"16","1007.5 ","1017.6 ","17.8 ","8.8 ","56 ","1.4 ","20.0 ","5.7 ","360.0 ","0.0 ","0.0 ","0.0 ","0.90 "," "
"17","1008.1 ","1018.3 ","16.5 ","7.4 ","55 ","3.0 ","350.0 ","5.7 ","320.0 ","0.0 ","0.0 ","0.0 ","0.25 ","12.0 "
"18","1008.5 ","1018.7 ","15.8 ","7.4 ","57 ","2.2 ","360.0 ","6.0 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1009.0 ","1019.2 ","15.5 ","7.6 ","59 ","2.8 ","10.0 ","6.2 ","10.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1009.3 ","1019.6 ","15.4 ","7.6 ","60 ","2.5 ","360.0 ","5.5 ","10.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","1009.7 ","1020.0 ","15.2 ","7.7 ","61 ","2.1 ","20.0 ","4.8 ","310.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1009.7 ","1020.0 ","15.5 ","8.2 ","62 ","0.4 ","320.0 ","3.9 ","10.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1009.7 ","1020.0 ","15.3 ","8.5 ","64 ","1.2 ","320.0 ","3.5 ","320.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1009.4 ","1019.7 ","15.1 ","9.1 ","67 ","1.1 ","320.0 ","3.5 ","350.0 ","0.0 ","0.0 "," ","0.00 "," "
