"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1013.4 ","1014.2 ","18.7 ","13.8 ","73 ","3.0 ","80.0 ","8.9 ","80.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1012.7 ","1013.5 ","18.9 ","14.0 ","73 ","1.8 ","100.0 ","6.9 ","80.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"3","1012.6 ","1013.4 ","19.0 ","14.2 ","74 ","1.2 ","120.0 ","4.3 ","120.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1012.7 ","1013.5 ","19.1 ","14.4 ","74 ","1.0 ","90.0 ","4.6 ","100.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1012.8 ","1013.6 ","19.1 ","14.5 ","75 ","1.9 ","80.0 ","3.7 ","90.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1013.4 ","1014.2 ","19.2 ","14.5 ","74 ","2.9 ","90.0 ","5.3 ","90.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1013.6 ","1014.4 ","19.3 ","14.7 ","75 ","3.4 ","80.0 ","8.2 ","80.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1014.1 ","1014.9 ","19.5 ","14.8 ","74 ","2.8 ","90.0 ","9.0 ","80.0 ","0.0 ","0.0 ","0.0 ","0.28 ","10.0 "
"9","1014.2 ","1015.0 ","19.8 ","15.0 ","74 ","3.7 ","80.0 ","8.1 ","80.0 ","0.0 ","0.0 ","0.0 ","0.53 ","10.0 "
"10","1014.1 ","1014.9 ","19.8 ","15.0 ","74 ","5.8 ","80.0 ","11.3 ","70.0 ","0.0 ","0.0 ","0.0 ","0.60 "," "
"11","1014.0 ","1014.8 ","20.2 ","15.0 ","72 ","2.6 ","80.0 ","10.4 ","80.0 ","0.0 ","0.0 ","0.0 ","0.60 ","10.0 "
"12","1013.1 ","1013.9 ","20.6 ","15.3 ","72 ","4.3 ","80.0 ","9.8 ","110.0 ","0.0 ","0.0 ","0.0 ","0.89 "," "
"13","1012.3 ","1013.1 ","20.4 ","15.3 ","73 ","3.7 ","70.0 ","9.3 ","80.0 ","0.0 ","0.0 ","0.0 ","0.70 "," "
"14","1011.7 ","1012.5 ","19.8 ","14.8 ","73 ","4.2 ","80.0 ","10.2 ","80.0 ","0.0 ","0.0 ","0.0 ","0.60 ","12.0 "
"15","1011.2 ","1012.0 ","20.1 ","15.0 ","72 ","4.7 ","80.0 ","10.4 ","90.0 ","0.0 ","0.0 ","0.0 ","0.57 "," "
"16","1011.0 ","1011.8 ","19.9 ","14.9 ","73 ","5.0 ","80.0 ","10.4 ","70.0 ","0.0 ","0.0 ","0.0 ","0.46 "," "
"17","1011.8 ","1012.6 ","19.7 ","14.7 ","73 ","5.1 ","80.0 ","12.0 ","80.0 ","0.0 ","0.0 ","0.0 ","0.03 ","12.0 "
"18","1012.1 ","1012.9 ","19.7 ","14.8 ","73 ","5.2 ","80.0 ","12.5 ","90.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","1012.3 ","1013.1 ","19.6 ","14.8 ","74 ","4.1 ","90.0 ","12.6 ","80.0 ","T ","0.1 ","0.0 ","0.00 "," "
"20","1012.7 ","1013.5 ","18.5 ","14.9 ","80 ","4.6 ","90.0 ","7.9 ","90.0 ","11.0 ","1.0 "," ","0.00 ","3.0 "
"21","1014.8 ","1015.6 ","18.7 ","15.3 ","81 ","1.1 ","120.0 ","6.0 ","80.0 ","2.0 ","1.0 "," ","0.00 ","5.0 "
"22","1013.7 ","1014.5 ","18.6 ","15.2 ","81 ","2.6 ","90.0 ","5.3 ","80.0 ","2.5 ","1.0 "," ","0.00 "," "
"23","1014.2 ","1015.0 ","18.7 ","15.5 ","82 ","0.2 ","0.0 ","5.1 ","100.0 ","0.5 ","1.0 "," ","0.00 ","6.0 "
"24","1014.4 ","1015.2 ","18.9 ","15.7 ","82 ","0.2 ","0.0 ","1.9 ","40.0 ","2.0 ","1.0 "," ","0.00 "," "
